  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
     1,   P-13571,   2020/11/11 08:28:36,           1-01,       1,       -16.887,       -99.830,         24077,      -1,    0,                                     TAP,                            Conditioning,                 H2O, 1605080021.45,         0.276,         0.814,       105.645,         0.001,        -0.006,        -2.156,        99.408,        25.776,         2.472,       100.359,         0.731,         1.850,       -0.0000,       -0.0000,    0,        40.312,         1,       1,       1,Picarro pre rinse,       0
     2,   P-13571,   2020/11/11 08:37:45,           1-01,       2,       -16.886,       -97.229,         19494,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1605080570.50,         0.259,         0.820,        57.892,         0.001,        -0.007,        -1.077,        78.919,        19.511,         1.974,        81.738,         0.733,         1.230,       -0.0000,       -0.0000,    0,        40.312,         1,       1,       1,Picarro pre rinse,       0
     3,   P-13571,   2020/11/11 08:46:53,           1-01,       3,       -16.887,       -96.968,         19116,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1605081118.64,         0.255,         0.909,        69.734,         0.001,        -0.011,        -1.352,        77.418,        18.031,         1.954,        81.225,         0.733,         1.223,       -0.0000,       -0.0000,    0,        40.375,         1,       1,       1,Picarro pre rinse,       0
     4,   P-13571,   2020/11/11 08:56:01,           1-01,       4,       -16.849,       -97.416,         18993,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1605081666.82,         0.270,         0.883,        58.811,         0.001,        -0.009,        -1.102,        77.607,        17.171,         1.845,        78.855,         0.733,         0.628,        0.0000,        0.0000,    0,        40.312,         1,       1,       1,Picarro pre rinse,       0
     5,   P-13571,   2020/11/11 09:05:10,           1-01,       5,       -16.891,       -96.975,         19012,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1605082216.00,         0.261,         0.837,        52.014,        -0.000,        -0.008,        -0.921,        77.483,        17.246,         1.897,        79.958,         0.733,         0.821,       -0.0000,       -0.0000,    0,        40.250,         1,       1,       1,Picarro pre rinse,       0
     6,   P-13571,   2020/11/11 09:14:19,           1-01,       6,       -16.912,       -97.173,         18733,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1605082765.12,         0.276,         0.792,        54.371,        -0.000,        -0.007,        -1.038,        76.227,        16.342,         1.915,        80.818,         0.733,         1.012,        0.0000,        0.0000,    0,        40.250,         1,       1,       1,Picarro pre rinse,       0
     7,   P-13571,   2020/11/11 09:23:29,           1-01,       7,       -16.834,       -96.673,         19416,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1605083314.51,         0.264,         0.876,        48.726,         0.001,        -0.008,        -0.846,        79.558,        16.673,         1.976,        83.410,         0.733,         0.852,        0.0000,        0.0000,    0,        40.312,         1,       1,       1,Picarro pre rinse,       0
     8,   P-13571,   2020/11/11 09:32:37,           1-01,       8,       -16.896,       -96.379,         18908,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1605083862.91,         0.252,         0.757,        27.354,         0.001,        -0.006,        -0.068,        77.488,        15.474,         1.983,        83.046,         0.733,         1.015,       -0.0000,       -0.0000,    0,        40.312,         1,       1,       1,Picarro pre rinse,       0
     9,   P-13571,   2020/11/11 09:41:45,           1-01,       9,       -16.974,       -96.247,         18782,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1605084410.93,         0.255,         0.835,        28.066,        -0.000,        -0.004,         0.355,        76.911,        15.369,         1.997,        82.725,         0.733,         1.066,        0.0000,        0.0000,    0,        40.250,         1,       1,       1,Picarro pre rinse,       0
    10,   P-13571,   2020/11/11 09:50:53,           1-01,      10,       -16.835,       -96.086,         19071,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1605084959.30,         0.254,         0.832,        52.414,         0.000,        -0.006,        -0.981,        77.835,        16.326,         1.936,        82.852,         0.733,         1.022,       -0.0000,       -0.0000,    0,        40.250,         1,       1,       1,Picarro pre rinse,       0
    11,   P-13572,   2020/11/11 10:00:03,           1-02,       1,        -4.888,       -18.826,         18794,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1605085508.15,         0.258,         1.197,        27.099,        -0.002,        -0.022,         0.069,        76.740,        15.301,         1.986,        83.727,         0.733,         1.150,       -0.0000,       -0.0000,    0,        40.188,         1,       2,       1,Picarro pre rinse,       0
    12,   P-13572,   2020/11/11 10:09:10,           1-02,       2,        -3.481,        -5.284,         22135,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1605086056.07,         0.252,         1.079,        36.270,        -0.001,        -0.018,        -0.333,        92.852,        17.248,         2.384,        98.400,         0.733,         1.053,        0.0000,        0.0000,    0,        40.188,         1,       2,       1,Picarro pre rinse,       0
    13,   P-13572,   2020/11/11 10:18:19,           1-02,       3,        -3.426,        -3.446,         19231,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1605086604.61,         0.274,         1.096,        33.207,        -0.002,        -0.018,        -0.304,        79.110,        15.328,         2.047,        85.543,         0.733,         1.037,       -0.0000,       -0.0000,    0,        40.250,         1,       2,       1,Picarro pre rinse,       0
    14,   P-13572,   2020/11/11 10:27:28,           1-02,       4,        -3.527,        -3.002,         18555,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1605087153.74,         0.276,         1.114,        32.124,        -0.002,        -0.017,         0.434,        76.097,        14.664,         1.967,        82.378,         0.733,         0.932,        0.0000,        0.0000,    0,        40.250,         1,       2,       1,Picarro pre rinse,       0
    15,   P-13572,   2020/11/11 10:36:38,           1-02,       5,        -3.530,        -2.675,         18590,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1605087703.21,         0.272,         1.063,        29.256,        -0.001,        -0.015,        -0.055,        76.022,        14.698,         1.993,        83.240,         0.733,         0.972,       -0.0000,       -0.0000,    0,        40.188,         1,       2,       1,Picarro pre rinse,       0
    16,   P-13572,   2020/11/11 10:45:46,           1-02,       6,        -3.530,        -2.492,         19577,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1605088251.61,         0.264,         0.899,        36.627,        -0.001,        -0.014,         0.612,        80.999,        15.023,         2.080,        86.950,         0.733,         0.913,        0.0000,        0.0000,    0,        40.250,         1,       2,       1,Picarro pre rinse,       0
    17,   P-13572,   2020/11/11 10:54:55,           1-02,       7,        -3.327,        -1.144,         19487,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1605088800.30,         0.244,         0.966,        30.319,        -0.001,        -0.013,         0.002,        80.137,        15.094,         2.116,        88.085,         0.733,         1.267,        0.0000,        0.0000,    0,        40.250,         1,       2,       1,Picarro pre rinse,       0
    18,   P-13572,   2020/11/11 11:04:04,           1-02,       8,        -3.353,        -1.675,         19699,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1605089349.75,         0.242,         1.076,        45.859,        -0.001,        -0.016,        -0.685,        81.180,        15.445,         2.068,        87.864,         0.733,         1.043,        0.0000,        0.0000,    0,        40.250,         1,       2,       1,Picarro pre rinse,       0
    19,   P-13572,   2020/11/11 11:13:12,           1-02,       9,        -3.592,        -2.394,         19259,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1605089898.11,         0.251,         0.937,        45.145,         0.000,        -0.012,         0.882,        79.046,        15.193,         2.050,        86.779,         0.733,         1.154,       -0.0000,       -0.0000,    0,        40.312,         1,       2,       1,Picarro pre rinse,       0
    20,   P-13572,   2020/11/11 11:22:23,           1-02,      10,        -3.446,        -1.299,         19083,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1605090448.07,         0.266,         0.897,        50.581,        -0.000,        -0.009,         1.074,        78.503,        14.953,         2.047,        85.189,         0.733,         1.042,       -0.0000,       -0.0000,    0,        40.375,         1,       2,       1,Picarro pre rinse,       0
    21,   P-13573,   2020/11/11 11:31:31,           1-03,       1,       -29.690,      -187.926,         18416,      -1,    1,                                   HAUS2,                                Standard,                 H2O, 1605090997.19,         0.302,         1.158,        30.310,         0.004,         0.022,         0.249,        75.522,        15.060,         1.893,        79.639,         0.733,         0.877,       -0.0000,       -0.0000,    0,        40.375,         1,       3,       1,Picarro pre rinse,       0
    22,   P-13573,   2020/11/11 11:40:40,           1-03,       2,       -31.898,      -215.589,         19201,      -1,    1,                                   HAUS2,                                Standard,                 H2O, 1605091546.01,         0.276,         1.088,        52.391,         0.003,         0.019,        -0.953,        78.642,        16.036,         2.006,        83.494,         0.733,         1.042,        0.0000,        0.0000,    0,        40.375,         1,       3,       1,Picarro pre rinse,       0
    23,   P-13573,   2020/11/11 11:49:49,           1-03,       3,       -32.299,      -222.355,         19481,      -1,    1,                                   HAUS2,                                Standard,                 H2O, 1605092095.29,         0.268,         1.037,        34.849,         0.002,         0.016,        -0.463,        80.199,        16.257,         2.006,        83.844,         0.733,         1.028,        0.0000,        0.0000,    0,        40.438,         1,       3,       1,Picarro pre rinse,       0
    24,   P-13573,   2020/11/11 11:58:59,           1-03,       4,       -32.507,      -225.285,         19255,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1605092644.40,         0.313,         0.964,        44.640,         0.004,         0.014,        -0.734,        79.351,        16.099,         1.972,        82.251,         0.733,         0.828,        0.0000,        0.0000,    0,        40.438,         1,       3,       1,Picarro pre rinse,       0
