  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
     1,   P-13382,   2020/11/04 10:14:14,           1-01,       1,       -16.375,       -90.396,         22099,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1604481559.21,         0.256,         0.742,       135.265,         0.000,         0.000,         3.176,        94.207,        16.505,         2.495,       100.419,         0.733,         1.339,       -0.0000,       -0.0000,    0,        40.375,         1,       1,       1,Picarro pre rinse,       0
     2,   P-13382,   2020/11/04 10:23:21,           1-01,       2,       -16.835,       -92.851,         18922,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1604482106.55,         0.530,         1.439,       188.459,         0.011,         0.028,         4.439,        78.736,        15.485,         2.060,        83.959,         0.733,         1.054,       -0.0000,       -0.0000,    0,        40.312,         1,       1,       1,Picarro pre rinse,       0
     3,   P-13382,   2020/11/04 10:32:29,           1-01,       3,       -16.216,       -90.309,         18541,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1604482654.57,         0.270,         0.882,       134.463,         0.002,         0.009,         3.207,        77.131,        14.254,         2.086,        84.304,         0.733,         1.222,       -0.0000,       -0.0000,    0,        40.312,         1,       1,       1,Picarro pre rinse,       0
     4,   P-13382,   2020/11/04 10:41:36,           1-01,       4,       -16.225,       -90.125,         19247,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1604483201.22,         0.277,         0.744,       133.497,         0.001,         0.003,         3.167,        80.565,        14.221,         2.182,        87.894,         0.733,         1.186,        0.0000,        0.0000,    0,        40.312,         1,       1,       1,Picarro pre rinse,       0
     5,   P-13382,   2020/11/04 10:50:43,           1-01,       5,       -16.167,       -89.879,         19228,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1604483748.56,         0.256,         0.820,       133.198,         0.000,         0.001,         3.159,        80.513,        14.420,         2.134,        87.328,         0.733,         1.132,       -0.0000,       -0.0000,    0,        40.250,         1,       1,       1,Picarro pre rinse,       0
     6,   P-13382,   2020/11/04 10:59:51,           1-01,       6,       -16.243,       -90.181,         20176,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1604484296.20,         0.260,         0.823,       135.441,         0.000,        -0.001,         3.197,        84.818,        15.325,         2.260,        91.762,         0.733,         1.195,       -0.0000,       -0.0000,    0,        40.250,         1,       1,       1,Picarro pre rinse,       0
     7,   P-13382,   2020/11/04 11:08:58,           1-01,       7,       -16.206,       -90.106,         19347,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1604484843.47,         0.256,         0.798,       131.623,         0.000,        -0.002,         3.123,        81.218,        14.422,         2.152,        87.141,         0.733,         1.046,       -0.0000,       -0.0000,    0,        40.312,         1,       1,       1,Picarro pre rinse,       0
     8,   P-13382,   2020/11/04 11:18:06,           1-01,       8,       -16.248,       -90.384,         18893,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1604485390.99,         0.261,         0.821,       134.318,         0.001,         0.003,         3.186,        78.960,        14.224,         2.100,        85.312,         0.733,         0.954,       -0.0000,       -0.0000,    0,        40.312,         1,       1,       1,Picarro pre rinse,       0
     9,   P-13382,   2020/11/04 11:27:13,           1-01,       9,       -16.255,       -90.279,         18642,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1604485938.08,         0.267,         0.823,       130.660,         0.000,         0.000,         3.114,        77.754,        14.427,         2.050,        83.443,         0.733,         0.907,       -0.0000,       -0.0000,    0,        40.312,         1,       1,       1,Picarro pre rinse,       0
    10,   P-13382,   2020/11/04 11:36:21,           1-01,      10,       -16.220,       -90.360,         19441,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1604486486.43,         0.230,         0.745,       130.856,         0.000,         0.002,         3.088,        81.474,        14.782,         2.162,        87.591,         0.733,         1.079,       -0.0000,       -0.0000,    0,        40.312,         1,       1,       1,Picarro pre rinse,       0
    11,   P-13383,   2020/11/04 11:45:29,           1-02,       1,        -4.292,       -12.405,         18691,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1604487034.51,         0.276,         0.964,       131.649,        -0.001,        -0.012,         3.139,        77.900,        13.622,         2.144,        86.590,         0.733,         1.303,       -0.0000,       -0.0000,    0,        40.250,         1,       2,       1,Picarro pre rinse,       0
    12,   P-13383,   2020/11/04 11:54:36,           1-02,       2,        -2.723,         2.980,         19132,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1604487581.73,         0.259,         1.018,       134.809,        -0.000,        -0.011,         3.214,        79.929,        14.172,         2.183,        87.754,         0.733,         1.095,       -0.0000,       -0.0000,    0,        40.250,         1,       2,       1,Picarro pre rinse,       0
    13,   P-13383,   2020/11/04 12:03:44,           1-02,       3,        -2.559,         6.483,         18352,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1604488129.38,         0.263,         0.872,       130.803,        -0.001,        -0.006,         3.119,        76.310,        13.721,         2.045,        83.837,         0.733,         1.142,       -0.0000,       -0.0000,    0,        40.250,         1,       2,       1,Picarro pre rinse,       0
    14,   P-13383,   2020/11/04 12:12:51,           1-02,       4,        -2.411,         7.929,         19607,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1604488676.89,         0.247,         0.866,       133.748,        -0.000,        -0.008,         3.189,        82.070,        14.698,         2.260,        89.983,         0.733,         1.319,       -0.0000,       -0.0000,    0,        40.312,         1,       2,       1,Picarro pre rinse,       0
    15,   P-13383,   2020/11/04 12:21:59,           1-02,       5,        -2.366,         8.876,         18984,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1604489224.27,         0.244,         0.892,       134.953,        -0.001,        -0.007,         3.200,        79.155,        13.750,         2.168,        88.468,         0.733,         1.290,        0.0000,        0.0000,    0,        40.250,         1,       2,       1,Picarro pre rinse,       0
    16,   P-13383,   2020/11/04 12:31:06,           1-02,       6,        -2.355,         9.355,         18471,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1604489771.56,         0.253,         0.800,       131.333,        -0.001,        -0.003,         3.132,        77.005,        13.320,         2.116,        85.255,         0.733,         1.159,        0.0000,        0.0000,    0,        40.250,         1,       2,       1,Picarro pre rinse,       0
    17,   P-13383,   2020/11/04 12:40:14,           1-02,       7,        -2.260,         9.679,         19452,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1604490319.84,         0.293,         0.815,       136.415,        -0.000,        -0.004,         3.235,        81.565,        14.178,         2.193,        89.332,         0.733,         1.060,       -0.0000,       -0.0000,    0,        40.250,         1,       2,       1,Picarro pre rinse,       0
