  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
     1,   P-13598,   2020/11/12 10:03:38,           1-01,       1,       -16.599,      -100.451,         24381,      -1,    0,                                     TAP,                            Conditioning,                 H2O, 1605172124.03,         0.293,         0.896,       312.656,         0.002,        -0.011,        -6.937,        99.467,        27.148,         2.427,        99.765,         0.732,         1.927,        0.0000,        0.0000,    0,        40.125,         1,       1,       1,Picarro pre rinse,       0
     2,   P-13598,   2020/11/12 10:12:47,           1-01,       2,       -16.904,       -99.702,         19068,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1605172672.81,         0.259,         0.943,       170.042,         0.000,        -0.012,        -3.819,        75.840,        20.604,         1.833,        77.153,         0.733,         1.159,        0.0000,        0.0000,    0,        40.188,         1,       1,       1,Picarro pre rinse,       0
     3,   P-13598,   2020/11/12 10:21:54,           1-01,       3,       -16.864,       -99.372,         19076,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1605173220.22,         0.271,         0.974,       171.764,         0.002,        -0.013,        -3.877,        76.573,        19.441,         1.797,        77.043,         0.733,         0.777,        0.0000,        0.0000,    0,        40.125,         1,       1,       1,Picarro pre rinse,       0
     4,   P-13598,   2020/11/12 10:31:03,           1-01,       4,       -16.885,       -98.253,         19338,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1605173768.90,         0.235,         0.912,        99.264,         0.001,        -0.010,        -2.152,        78.370,        18.279,         1.909,        81.335,         0.733,         1.001,        0.0000,        0.0000,    0,        40.188,         1,       1,       1,Picarro pre rinse,       0
     5,   P-13598,   2020/11/12 10:40:12,           1-01,       5,       -16.772,       -97.063,         19246,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1605174318.05,         0.257,         0.859,        63.531,         0.000,        -0.008,        -1.308,        78.536,        17.149,         1.973,        82.989,         0.733,         1.061,        0.0000,        0.0000,    0,        40.188,         1,       1,       1,Picarro pre rinse,       0
     6,   P-13598,   2020/11/12 10:49:21,           1-01,       6,       -16.724,       -96.850,         19148,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1605174866.90,         0.241,         0.807,       118.851,         0.001,        -0.007,        -2.636,        78.129,        16.673,         1.922,        81.919,         0.733,         0.863,        0.0000,        0.0000,    0,        40.500,         1,       1,       1,Picarro pre rinse,       0
     7,   P-13598,   2020/11/12 10:58:30,           1-01,       7,       -16.810,       -97.546,         19104,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1605175415.64,         0.271,         0.913,       113.901,         0.001,        -0.011,        -2.519,        77.591,        16.861,         1.958,        82.231,         0.733,         1.050,        0.0000,        0.0000,    0,        40.375,         1,       1,       1,Picarro pre rinse,       0
     8,   P-13598,   2020/11/12 11:07:39,           1-01,       8,       -16.911,       -97.635,         18930,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1605175965.15,         0.270,         0.855,        59.010,         0.000,        -0.009,        -1.144,        77.303,        16.421,         1.866,        80.295,         0.733,         0.641,       -0.0000,       -0.0000,    0,        40.312,         1,       1,       1,Picarro pre rinse,       0
     9,   P-13598,   2020/11/12 11:16:48,           1-01,       9,       -16.789,       -96.713,         19092,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1605176513.81,         0.220,         0.896,        82.555,         0.001,        -0.010,        -1.738,        78.030,        15.936,         1.988,        83.140,         0.733,         0.976,        0.0000,        0.0000,    0,        40.312,         1,       1,       1,Picarro pre rinse,       0
    10,   P-13598,   2020/11/12 11:25:56,           1-01,      10,       -16.754,       -97.160,         19191,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1605177062.20,         0.250,         0.785,       118.983,         0.001,        -0.007,        -2.602,        78.415,        16.349,         1.909,        82.016,         0.733,         0.699,        0.0000,        0.0000,    0,        40.312,         1,       1,       1,Picarro pre rinse,       0
    11,   P-13599,   2020/11/12 11:35:05,           1-02,       1,        -4.622,       -18.527,         20204,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1605177610.69,         0.259,         1.128,        40.105,        -0.002,        -0.020,        -0.351,        83.683,        16.023,         2.080,        88.563,         0.733,         0.815,        0.0000,        0.0000,    0,        40.312,         1,       2,       1,Picarro pre rinse,       0
    12,   P-13599,   2020/11/12 11:44:13,           1-02,       2,        -3.688,        -7.889,         19430,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1605178159.04,         0.272,         1.202,        52.678,        -0.001,        -0.021,        -0.686,        80.011,        15.380,         2.034,        85.055,         0.733,         0.773,       -0.0000,       -0.0000,    0,        40.312,         1,       2,       1,Picarro pre rinse,       0
    13,   P-13599,   2020/11/12 11:53:23,           1-02,       3,        -3.947,        -6.633,         18889,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1605178708.52,         0.287,         0.887,        49.362,         0.000,        -0.009,         1.002,        77.394,        15.170,         2.025,        83.668,         0.733,         0.998,       -0.0000,       -0.0000,    0,        40.312,         1,       2,       1,Picarro pre rinse,       0
    14,   P-13599,   2020/11/12 12:02:31,           1-02,       4,        -3.533,        -3.553,         19718,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1605179256.66,         0.264,         1.022,        43.213,        -0.001,        -0.017,         0.069,        80.989,        16.108,         2.084,        86.777,         0.733,         1.000,        0.0000,        0.0000,    0,        40.312,         1,       2,       1,Picarro pre rinse,       0
    15,   P-13599,   2020/11/12 12:11:40,           1-02,       5,        -3.899,        -7.485,         18510,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1605179806.70,         0.277,         1.528,       180.029,        -0.001,        -0.031,        -4.061,        75.011,        15.497,         1.852,        79.575,         0.733,         0.667,        0.0000,        0.0000,    0,        40.375,         1,       2,       1,Picarro pre rinse,       0
    16,   P-13599,   2020/11/12 12:20:49,           1-02,       6,        -3.902,        -7.203,         19638,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1605180355.42,         0.251,         1.089,        97.154,        -0.001,        -0.018,        -1.943,        80.521,        15.994,         1.977,        85.458,         0.733,         0.810,       -0.0000,       -0.0000,    0,        40.312,         1,       2,       1,Picarro pre rinse,       0
    17,   P-13599,   2020/11/12 12:29:57,           1-02,       7,        -3.956,        -7.286,         18703,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1605180902.40,         0.254,         1.281,       121.361,        -0.001,        -0.024,        -2.645,        75.952,        15.384,         1.931,        81.752,         0.733,         0.864,       -0.0000,       -0.0000,    0,        40.312,         1,       2,       1,Picarro pre rinse,       0
    18,   P-13599,   2020/11/12 12:39:05,           1-02,       8,        -3.941,        -7.092,         19558,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1605181451.47,         0.264,         1.144,        90.763,        -0.001,        -0.020,        -1.726,        79.934,        16.255,         1.990,        85.084,         0.733,         0.884,       -0.0000,       -0.0000,    0,        40.312,         1,       2,       1,Picarro pre rinse,       0
    19,   P-13599,   2020/11/12 12:48:15,           1-02,       9,        -3.961,        -7.448,         18969,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1605182000.96,         0.274,         1.260,       115.878,        -0.002,        -0.023,        -2.495,        77.309,        15.880,         1.869,        81.461,         0.733,         0.607,        0.0000,        0.0000,    0,        40.375,         1,       2,       1,Picarro pre rinse,       0
    20,   P-13599,   2020/11/12 12:57:24,           1-02,      10,        -3.982,        -6.053,         19389,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1605182549.39,         0.259,         0.966,        36.740,        -0.001,        -0.013,         0.162,        79.378,        15.491,         2.045,        86.840,         0.733,         1.093,        0.0000,        0.0000,    0,        40.375,         1,       2,       1,Picarro pre rinse,       0
    21,   P-13600,   2020/11/12 13:06:34,           1-03,       1,       -29.452,      -188.190,         19544,      -1,    1,                                   HAUS2,                                Standard,                 H2O, 1605183099.69,         0.261,         1.104,        38.881,         0.003,         0.020,        -0.157,        80.272,        16.674,         1.908,        82.716,         0.733,         0.781,       -0.0000,       -0.0000,    0,        40.312,         1,       3,       1,Picarro pre rinse,       0
    22,   P-13600,   2020/11/12 13:15:44,           1-03,       2,       -31.790,      -215.777,         19175,      -1,    1,                                   HAUS2,                                Standard,                 H2O, 1605183649.92,         0.265,         1.180,        87.320,         0.003,         0.023,        -1.703,        78.221,        16.804,         1.912,        80.640,         0.733,         0.710,       -0.0000,       -0.0000,    0,        40.312,         1,       3,       1,Picarro pre rinse,       0
    23,   P-13600,   2020/11/12 13:24:53,           1-03,       3,       -32.074,      -221.438,         18899,      -1,    1,                                   HAUS2,                                Standard,                 H2O, 1605184198.91,         0.288,         1.020,       104.522,         0.004,         0.017,        -2.205,        76.822,        16.499,         1.882,        80.486,         0.733,         1.004,        0.0000,        0.0000,    0,        40.375,         1,       3,       1,Picarro pre rinse,       0
    24,   P-13600,   2020/11/12 13:34:02,           1-03,       4,       -32.366,      -224.330,         20115,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1605184747.25,         0.284,         0.949,        30.638,         0.003,         0.013,        -0.125,        83.357,        16.399,         2.076,        87.082,         0.733,         0.951,        0.0000,        0.0000,    0,        40.438,         1,       3,       1,Picarro pre rinse,       0
    25,   P-13600,   2020/11/12 13:43:12,           1-03,       5,       -32.529,      -226.416,         19028,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1605185298.10,         0.272,         0.925,       103.611,         0.003,         0.014,        -2.211,        77.881,        16.202,         1.915,        80.789,         0.733,         0.855,        0.0000,        0.0000,    0,        40.438,         1,       3,       1,Picarro pre rinse,       0
    26,   P-13600,   2020/11/12 13:52:21,           1-03,       6,       -32.480,      -226.134,         19317,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1605185846.83,         0.276,         0.851,       113.986,         0.003,         0.012,        -2.447,        79.023,        16.617,         1.932,        81.668,         0.733,         0.900,       -0.0000,       -0.0000,    0,        40.500,         1,       3,       1,Picarro pre rinse,       0
    27,   P-13600,   2020/11/12 14:01:30,           1-03,       7,       -32.454,      -226.701,         19586,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1605186396.04,         0.295,         0.877,        86.198,         0.003,         0.011,        -1.836,        80.359,        16.759,         1.974,        83.461,         0.733,         0.874,        0.0000,        0.0000,    0,        40.500,         1,       3,       1,Picarro pre rinse,       0
    28,   P-13600,   2020/11/12 14:10:39,           1-03,       8,       -32.563,      -227.199,         18555,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1605186945.21,         0.260,         0.931,       113.173,         0.003,         0.012,        -2.475,        75.696,        15.507,         1.854,        79.303,         0.733,         0.906,        0.0000,        0.0000,    0,        40.562,         1,       3,       1,Picarro pre rinse,       0
    29,   P-13600,   2020/11/12 14:19:47,           1-03,       9,       -32.539,      -227.121,         18886,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1605187493.24,         0.283,         0.912,       116.411,         0.004,         0.011,        -2.536,        77.212,        16.200,         1.839,        79.028,         0.733,         0.640,        0.0000,        0.0000,    0,        40.562,         1,       3,       1,Picarro pre rinse,       0
    30,   P-13600,   2020/11/12 14:28:56,           1-03,      10,       -32.637,      -227.401,         18693,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1605188041.91,         0.279,         0.865,        87.732,         0.003,         0.011,        -1.833,        76.259,        15.545,         1.920,        80.729,         0.733,         0.963,        0.0000,        0.0000,    0,        40.625,         1,       3,       1,Picarro pre rinse,       0
