  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
     1,   P-13733,   2020/11/17 09:21:38,           1-01,       1,       -16.765,      -106.256,         22536,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1605601604.44,         0.269,         1.226,       670.129,         0.003,        -0.023,       -15.154,        89.338,        25.731,         1.975,        88.404,         0.731,         1.425,       -0.0000,       -0.0000,    0,        40.438,         1,       1,       1,Picarro pre rinse,       0
     2,   P-13733,   2020/11/17 09:30:47,           1-01,       2,       -16.893,      -104.591,         20728,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1605602153.03,         0.254,         1.233,       517.570,         0.002,        -0.023,       -11.807,        81.941,        22.877,         1.791,        80.312,         0.733,         0.869,       -0.0000,       -0.0000,    0,        40.438,         1,       1,       1,Picarro pre rinse,       0
     3,   P-13733,   2020/11/17 09:39:56,           1-01,       3,       -16.939,      -104.673,         19414,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1605602702.81,         0.255,         1.214,       437.738,         0.001,        -0.023,       -10.023,        76.506,        20.405,         1.698,        76.918,         0.733,         0.791,        0.0000,        0.0000,    0,        40.375,         1,       1,       1,Picarro pre rinse,       0
     4,   P-13733,   2020/11/17 09:49:06,           1-01,       4,       -17.131,      -105.132,         18865,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1605603252.70,         0.275,         1.195,       413.729,         0.003,        -0.021,        -9.477,        74.479,        18.822,         1.698,        75.661,         0.733,         0.810,        0.0000,        0.0000,    0,        41.625,         1,       1,       1,Picarro pre rinse,       0
     5,   P-13733,   2020/11/17 09:58:16,           1-01,       5,       -16.947,      -104.169,         19399,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1605603802.45,         0.259,         1.376,       408.290,         0.002,        -0.026,        -9.348,        77.230,        18.745,         1.759,        78.343,         0.733,         0.686,       -0.0000,       -0.0000,    0,        40.688,         1,       1,       1,Picarro pre rinse,       0
     6,   P-13733,   2020/11/17 10:07:25,           1-01,       6,       -17.024,      -104.261,         19467,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1605604350.91,         0.267,         1.245,       440.691,         0.002,        -0.024,       -10.114,        77.508,        18.481,         1.749,        79.357,         0.733,         0.820,       -0.0000,       -0.0000,    0,        40.375,         1,       1,       1,Picarro pre rinse,       0
     7,   P-13733,   2020/11/17 10:16:34,           1-01,       7,       -16.879,      -103.920,         19622,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1605604900.30,         0.299,         1.280,       418.290,         0.002,        -0.024,        -9.567,        78.196,        18.532,         1.810,        80.113,         0.733,         0.824,        0.0000,        0.0000,    0,        40.375,         1,       1,       1,Picarro pre rinse,       0
     8,   P-13733,   2020/11/17 10:25:44,           1-01,       8,       -16.932,      -104.697,         19221,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1605605451.20,         0.295,         1.300,       469.525,         0.002,        -0.024,       -10.789,        76.251,        18.469,         1.700,        77.345,         0.733,         0.640,        0.0000,        0.0000,    0,        40.312,         1,       1,       1,Picarro pre rinse,       0
     9,   P-13733,   2020/11/17 10:34:54,           1-01,       9,       -16.979,      -104.301,         19166,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1605606000.88,         0.268,         1.201,       402.807,         0.002,        -0.022,        -9.283,        76.274,        17.547,         1.782,        79.697,         0.733,         0.812,        0.0000,        0.0000,    0,        40.250,         1,       1,       1,Picarro pre rinse,       0
    10,   P-13733,   2020/11/17 10:44:03,           1-01,      10,       -16.975,      -104.215,         19377,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1605606549.84,         0.265,         1.209,       450.054,         0.002,        -0.023,       -10.328,        77.210,        17.986,         1.775,        79.669,         0.733,         0.691,        0.0000,        0.0000,    0,        40.312,         1,       1,       1,Picarro pre rinse,       0
