  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
     1,   P-13436,   2020/11/06 09:56:14,           1-01,       1,       -16.867,       -92.653,         21404,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1604653280.04,         0.250,         0.780,       130.455,         0.001,         0.005,         3.070,        88.066,        22.389,         2.334,        92.618,         0.731,         2.042,       -0.0000,       -0.0000,    0,        40.000,         1,       1,       1,Picarro pre rinse,       0
     2,   P-13436,   2020/11/06 10:05:22,           1-01,       2,       -16.898,       -93.437,         18870,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1604653827.98,         0.409,         1.246,       165.981,         0.008,         0.022,         3.948,        77.286,        18.329,         2.014,        80.459,         0.733,         1.221,       -0.0000,       -0.0000,    0,        39.938,         1,       1,       1,Picarro pre rinse,       0
     3,   P-13436,   2020/11/06 10:14:31,           1-01,       3,       -16.227,       -90.360,         18809,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1604654376.29,         0.252,         0.742,       129.993,         0.000,         0.001,         3.093,        76.783,        18.200,         2.051,        82.353,         0.731,         1.600,       -0.0000,       -0.0000,    0,        40.000,         1,       1,       1,Picarro pre rinse,       0
     4,   P-13436,   2020/11/06 10:23:39,           1-01,       4,       -16.414,       -90.889,         18831,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1604654924.15,         0.264,         0.855,       134.139,         0.001,        -0.001,         3.198,        77.614,        17.025,         2.047,        81.928,         0.733,         1.196,        0.0000,        0.0000,    0,        40.062,         1,       1,       1,Picarro pre rinse,       0
     5,   P-13436,   2020/11/06 10:32:47,           1-01,       5,       -16.524,       -91.220,         18981,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1604655472.51,         0.243,         0.776,       131.306,        -0.000,         0.001,         3.115,        78.692,        16.090,         2.091,        83.605,         0.733,         1.201,       -0.0000,       -0.0000,    0,        40.062,         1,       1,       1,Picarro pre rinse,       0
     6,   P-13436,   2020/11/06 10:41:55,           1-01,       6,       -16.603,       -91.398,         18969,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1604656020.48,         0.264,         0.822,       132.183,         0.001,         0.001,         3.152,        78.575,        15.972,         2.115,        84.321,         0.733,         1.230,       -0.0000,       -0.0000,    0,        40.062,         1,       1,       1,Picarro pre rinse,       0
     7,   P-13436,   2020/11/06 10:51:03,           1-01,       7,       -16.619,       -91.264,         18936,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1604656568.90,         0.232,         0.844,       132.859,         0.000,         0.001,         3.168,        78.451,        14.957,         2.171,        87.112,         0.733,         1.568,       -0.0000,       -0.0000,    0,        40.000,         1,       1,       1,Picarro pre rinse,       0
     8,   P-13436,   2020/11/06 11:00:11,           1-01,       8,       -16.550,       -91.090,         19135,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1604657116.78,         0.240,         0.812,       134.200,         0.000,        -0.001,         3.200,        79.597,        15.439,         2.107,        86.072,         0.733,         1.156,       -0.0000,       -0.0000,    0,        40.000,         1,       1,       1,Picarro pre rinse,       0
     9,   P-13436,   2020/11/06 11:09:20,           1-01,       9,       -16.727,       -92.089,         18613,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1604657665.17,         0.300,         0.888,       131.612,         0.003,         0.007,         3.139,        77.173,        14.891,         2.059,        83.899,         0.733,         1.225,        0.0000,        0.0000,    0,        40.062,         1,       1,       1,Picarro pre rinse,       0
    10,   P-13436,   2020/11/06 11:18:27,           1-01,      10,       -16.556,       -91.077,         18607,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1604658212.47,         0.257,         0.885,       132.233,         0.000,        -0.000,         3.153,        77.467,        14.048,         2.077,        84.364,         0.733,         1.115,       -0.0000,       -0.0000,    0,        40.062,         1,       1,       1,Picarro pre rinse,       0
    11,   P-13437,   2020/11/06 11:27:34,           1-02,       1,        -4.503,       -13.721,         18483,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1604658759.65,         0.297,         0.912,       133.429,        -0.003,        -0.011,         3.181,        76.864,        13.806,         2.082,        84.675,         0.733,         1.159,       -0.0000,       -0.0000,    0,        40.062,         1,       2,       1,Picarro pre rinse,       0
    12,   P-13437,   2020/11/06 11:36:44,           1-02,       2,        -2.932,         1.600,         18734,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1604659308.80,         0.253,         0.886,       133.239,        -0.002,        -0.009,         3.178,        77.951,        13.753,         2.160,        86.984,         0.733,         1.366,       -0.0000,       -0.0000,    0,        40.062,         1,       2,       1,Picarro pre rinse,       0
    13,   P-13437,   2020/11/06 11:45:51,           1-02,       3,        -2.639,         5.458,         18920,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1604659857.05,         0.265,         0.916,       130.687,        -0.002,        -0.010,         3.116,        78.770,        14.112,         2.167,        87.240,         0.733,         1.188,       -0.0000,       -0.0000,    0,        40.125,         1,       2,       1,Picarro pre rinse,       0
    14,   P-13437,   2020/11/06 11:54:59,           1-02,       4,        -2.450,         7.395,         19820,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1604660404.52,         0.253,         0.886,       137.048,        -0.000,        -0.008,         3.251,        83.035,        14.749,         2.266,        91.007,         0.733,         1.172,       -0.0000,       -0.0000,    0,        40.125,         1,       2,       1,Picarro pre rinse,       0
    15,   P-13437,   2020/11/06 12:04:08,           1-02,       5,        -2.367,         8.177,         18993,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1604660952.91,         0.262,         0.840,       132.872,        -0.001,        -0.005,         3.152,        79.393,        13.835,         2.141,        87.407,         0.733,         1.111,       -0.0000,       -0.0000,    0,        40.125,         1,       2,       1,Picarro pre rinse,       0
    16,   P-13437,   2020/11/06 12:13:16,           1-02,       6,        -2.377,         8.745,         19092,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1604661501.59,         0.266,         0.891,       136.450,        -0.000,        -0.002,         3.254,        79.642,        14.350,         2.141,        87.456,         0.733,         1.152,       -0.0000,       -0.0000,    0,        40.250,         1,       2,       1,Picarro pre rinse,       0
    17,   P-13437,   2020/11/06 12:22:24,           1-02,       7,        -2.380,         9.111,         18819,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1604662049.96,         0.263,         0.868,       135.663,        -0.000,        -0.005,         3.219,        78.180,        14.513,         2.128,        85.646,         0.733,         1.107,       -0.0000,       -0.0000,    0,        40.188,         1,       2,       1,Picarro pre rinse,       0
    18,   P-13437,   2020/11/06 12:31:32,           1-02,       8,        -2.336,         9.455,         19050,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1604662597.79,         0.265,         0.888,       133.287,        -0.000,        -0.004,         3.177,        79.420,        13.443,         2.238,        89.444,         0.733,         1.367,       -0.0000,       -0.0000,    0,        40.188,         1,       2,       1,Picarro pre rinse,       0
