  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
     1,   P-13057,   2020/10/22 14:15:20,           1-01,       1,       -16.172,       -91.103,         24719,      -1,    0,                                     TAP,                            Conditioning,                 H2O, 1603369226.79,         0.257,         0.885,       151.777,        -0.000,        -0.002,         3.527,       106.133,        23.886,         2.436,       102.658,         0.723,         0.602,       -0.0000,       -0.0000,    0,        41.125,         1,       1,       1,Picarro pre rinse,       0
     2,   P-13057,   2020/10/22 14:24:28,           1-01,       2,       -16.961,       -93.955,         20343,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1603369774.21,         0.531,         1.545,       224.180,         0.011,         0.030,         5.283,        84.898,        20.183,         1.968,        84.221,         0.723,         0.611,        0.0000,        0.0000,    0,        40.812,         1,       1,       1,Picarro pre rinse,       0
     3,   P-13057,   2020/10/22 14:33:36,           1-01,       3,       -16.240,       -90.922,         19463,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1603370321.98,         0.256,         0.934,       148.741,        -0.000,         0.001,         3.522,        81.318,        18.706,         1.858,        79.638,         0.724,         0.260,        0.0000,        0.0000,    0,        40.750,         1,       1,       1,Picarro pre rinse,       0
     4,   P-13057,   2020/10/22 14:42:43,           1-01,       4,       -16.502,       -92.513,         19510,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1603370868.59,         0.275,         1.021,       148.348,         0.001,         0.010,         3.518,        80.975,        19.342,         1.891,        81.199,         0.723,         0.593,       -0.0000,       -0.0000,    0,        40.750,         1,       1,       1,Picarro pre rinse,       0
     5,   P-13057,   2020/10/22 14:51:49,           1-01,       5,       -16.407,       -91.506,         20324,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1603371415.36,         0.242,         0.842,       146.428,        -0.000,        -0.001,         3.468,        84.898,        20.010,         1.951,        84.014,         0.723,         0.484,       -0.0000,       -0.0000,    0,        40.750,         1,       1,       1,Picarro pre rinse,       0
     6,   P-13057,   2020/10/22 15:00:56,           1-01,       6,       -16.536,       -91.798,         19353,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1603371962.31,         0.258,         0.855,       146.596,        -0.001,        -0.000,         3.476,        80.726,        18.895,         1.826,        78.801,         0.723,         0.232,        0.0000,        0.0000,    0,        40.688,         1,       1,       1,Picarro pre rinse,       0
     7,   P-13057,   2020/10/22 15:10:03,           1-01,       7,       -16.458,       -91.663,         19964,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1603372509.01,         0.262,         0.818,       146.910,        -0.000,         0.001,         3.484,        83.171,        19.697,         1.944,        83.059,         0.723,         0.634,       -0.0000,       -0.0000,    0,        40.750,         1,       1,       1,Picarro pre rinse,       0
     8,   P-13057,   2020/10/22 15:19:11,           1-01,       8,       -16.561,       -92.406,         19695,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1603373056.40,         0.261,         0.951,       146.124,         0.001,         0.005,         3.465,        82.369,        18.904,         1.862,        81.036,         0.723,         0.266,       -0.0000,       -0.0000,    0,        40.688,         1,       1,       1,Picarro pre rinse,       0
     9,   P-13057,   2020/10/22 15:28:17,           1-01,       9,       -16.419,       -91.624,         19452,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1603373602.94,         0.248,         0.968,       148.410,        -0.000,         0.002,         3.517,        81.178,        19.071,         1.866,        79.408,         0.723,         0.323,       -0.0000,       -0.0000,    0,        40.750,         1,       1,       1,Picarro pre rinse,       0
    10,   P-13057,   2020/10/22 15:37:24,           1-01,      10,       -16.484,       -91.830,         19512,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1603374150.35,         0.261,         0.884,       146.065,         0.000,         0.001,         3.463,        81.594,        18.973,         1.846,        79.219,         0.723,         0.197,        0.0000,        0.0000,    0,        40.750,         1,       1,       1,Picarro pre rinse,       0
