  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
     1,   P-13625,   2020/11/13 09:54:47,           1-01,       1,       -17.020,      -102.586,         21247,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1605257992.95,         0.267,         0.808,       135.104,         0.000,        -0.008,        -2.963,        86.138,        21.148,         2.119,        88.896,         0.733,         1.404,        0.0000,        0.0000,    0,        40.125,         1,       1,       1,Picarro pre rinse,       0
     2,   P-13625,   2020/11/13 10:03:56,           1-01,       2,       -16.828,       -97.961,         19525,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1605258542.37,         0.246,         0.842,       123.034,         0.001,        -0.008,        -2.730,        79.697,        18.259,         1.925,        81.458,         0.733,         0.646,       -0.0000,       -0.0000,    0,        40.062,         1,       1,       1,Picarro pre rinse,       0
     3,   P-13625,   2020/11/13 10:13:05,           1-01,       3,       -16.849,       -97.242,         19146,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1605259090.41,         0.243,         0.819,       109.303,         0.001,        -0.006,        -2.399,        77.928,        17.206,         1.965,        82.003,         0.733,         1.062,        0.0000,        0.0000,    0,        40.000,         1,       1,       1,Picarro pre rinse,       0
     4,   P-13625,   2020/11/13 10:22:14,           1-01,       4,       -16.737,       -96.780,         18880,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1605259639.85,         0.270,         0.880,       116.526,         0.001,        -0.012,        -2.539,        76.966,        16.689,         1.892,        80.426,         0.733,         0.870,       -0.0000,       -0.0000,    0,        39.938,         1,       1,       1,Picarro pre rinse,       0
     5,   P-13625,   2020/11/13 10:31:23,           1-01,       5,       -16.736,       -96.823,         19330,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1605260189.24,         0.250,         0.825,       109.608,         0.001,        -0.008,        -2.342,        79.224,        16.962,         1.889,        80.707,         0.733,         0.549,        0.0000,        0.0000,    0,        40.062,         1,       1,       1,Picarro pre rinse,       0
     6,   P-13625,   2020/11/13 10:40:32,           1-01,       6,       -16.845,       -96.894,         19297,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1605260738.07,         0.274,         0.860,        83.953,         0.001,        -0.010,        -1.633,        79.023,        16.304,         1.995,        83.552,         0.733,         0.947,       -0.0000,       -0.0000,    0,        40.062,         1,       1,       1,Picarro pre rinse,       0
     7,   P-13625,   2020/11/13 10:49:41,           1-01,       7,       -16.926,       -96.935,         19213,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1605261286.23,         0.249,         0.795,        72.136,         0.001,        -0.008,        -1.289,        78.605,        16.418,         1.959,        82.911,         0.733,         0.969,        0.0000,        0.0000,    0,        40.125,         1,       1,       1,Picarro pre rinse,       0
     8,   P-13625,   2020/11/13 10:58:50,           1-01,       8,       -16.945,       -97.174,         18917,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1605261835.75,         0.258,         0.866,       116.327,         0.001,        -0.009,        -2.403,        76.959,        16.248,         1.947,        81.857,         0.733,         0.998,        0.0000,        0.0000,    0,        40.188,         1,       1,       1,Picarro pre rinse,       0
     9,   P-13625,   2020/11/13 11:07:59,           1-01,       9,       -17.007,       -97.838,         18920,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1605262385.40,         0.255,         0.914,       102.606,         0.001,        -0.010,        -2.050,        76.974,        15.912,         1.959,        82.759,         0.733,         1.032,       -0.0000,       -0.0000,    0,        40.188,         1,       1,       1,Picarro pre rinse,       0
    10,   P-13625,   2020/11/13 11:17:08,           1-01,      10,       -17.018,       -97.797,         19511,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1605262934.19,         0.261,         0.842,       114.741,         0.002,        -0.009,        -2.319,        79.763,        16.529,         1.962,        84.057,         0.733,         0.828,        0.0000,        0.0000,    0,        40.250,         1,       1,       1,Picarro pre rinse,       0
    11,   P-13626,   2020/11/13 11:26:18,           1-02,       1,        -5.401,       -22.579,         19043,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1605263483.93,         0.250,         1.236,        74.523,        -0.001,        -0.022,        -1.312,        77.933,        15.579,         1.937,        82.739,         0.733,         0.734,        0.0000,        0.0000,    0,        40.312,         1,       2,       1,Picarro pre rinse,       0
    12,   P-13626,   2020/11/13 11:35:27,           1-02,       2,        -4.098,       -10.134,         19734,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1605264032.70,         0.222,         1.194,       103.579,        -0.000,        -0.020,        -2.011,        81.120,        15.955,         2.018,        85.774,         0.733,         0.792,       -0.0000,       -0.0000,    0,        40.375,         1,       2,       1,Picarro pre rinse,       0
    13,   P-13626,   2020/11/13 11:44:37,           1-02,       3,        -4.005,        -8.417,         19498,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1605264582.84,         0.261,         1.227,       139.513,         0.000,        -0.020,        -2.827,        79.615,        16.158,         1.974,        84.541,         0.733,         0.836,       -0.0000,       -0.0000,    0,        40.312,         1,       2,       1,Picarro pre rinse,       0
    14,   P-13626,   2020/11/13 11:53:46,           1-02,       4,        -3.879,        -6.727,         19240,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1605265132.14,         0.253,         1.155,       126.482,        -0.001,        -0.019,        -2.690,        78.678,        15.736,         1.978,        84.110,         0.733,         0.910,       -0.0000,       -0.0000,    0,        40.312,         1,       2,       1,Picarro pre rinse,       0
    15,   P-13626,   2020/11/13 12:02:56,           1-02,       5,        -3.758,        -5.769,         18307,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1605265681.28,         0.240,         1.324,       163.415,        -0.002,        -0.025,        -3.683,        74.537,        14.726,         1.874,        80.270,         0.733,         0.809,        0.0000,        0.0000,    0,        40.312,         1,       2,       1,Picarro pre rinse,       0
    16,   P-13626,   2020/11/13 12:12:04,           1-02,       6,        -3.650,        -4.522,         19517,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1605266230.65,         0.252,         1.187,       145.676,        -0.001,        -0.021,        -3.199,        80.171,        15.037,         2.083,        87.802,         0.733,         1.130,        0.0000,        0.0000,    0,        40.375,         1,       2,       1,Picarro pre rinse,       0
    17,   P-13626,   2020/11/13 12:21:14,           1-02,       7,        -3.580,        -3.001,         18466,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1605266779.39,         0.261,         1.244,       124.213,        -0.001,        -0.023,        -2.730,        75.589,        14.447,         1.958,        81.940,         0.733,         0.903,       -0.0000,       -0.0000,    0,        40.375,         1,       2,       1,Picarro pre rinse,       0
    18,   P-13626,   2020/11/13 12:30:23,           1-02,       8,        -3.477,        -2.458,         18153,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1605267328.40,         0.284,         1.237,       124.798,        -0.001,        -0.023,        -2.802,        74.068,        14.578,         1.910,        80.436,         0.733,         0.888,       -0.0000,       -0.0000,    0,        40.375,         1,       2,       1,Picarro pre rinse,       0
    19,   P-13626,   2020/11/13 12:39:31,           1-02,       9,        -3.476,        -2.634,         19285,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1605267876.84,         0.259,         1.140,       156.412,        -0.001,        -0.019,        -3.382,        79.134,        15.222,         1.962,        84.737,         0.733,         0.750,        0.0000,        0.0000,    0,        40.438,         1,       2,       1,Picarro pre rinse,       0
    20,   P-13626,   2020/11/13 12:48:40,           1-02,      10,        -4.043,        -6.517,         18242,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1605268425.66,         0.255,         1.172,       147.534,        -0.001,        -0.020,        -3.228,        73.878,        14.645,         1.871,        80.203,         0.733,         0.827,       -0.0000,       -0.0000,    0,        40.438,         1,       2,       1,Picarro pre rinse,       0
    21,   P-13627,   2020/11/13 12:57:49,           1-03,       1,       -29.108,      -189.619,         20058,      -1,    1,                                   HAUS2,                                Standard,                 H2O, 1605268975.11,         0.309,         1.187,       147.936,         0.005,         0.022,        -3.072,        82.348,        16.906,         1.954,        84.783,         0.733,         0.703,       -0.0000,       -0.0000,    0,        40.625,         1,       3,       1,Picarro pre rinse,       0
    22,   P-13627,   2020/11/13 13:06:59,           1-03,       2,       -31.752,      -216.334,         19547,      -1,    1,                                   HAUS2,                                Standard,                 H2O, 1605269524.59,         0.265,         1.085,        99.519,         0.003,         0.019,        -1.956,        80.144,        16.829,         1.890,        81.216,         0.733,         0.524,        0.0000,        0.0000,    0,        40.625,         1,       3,       1,Picarro pre rinse,       0
    23,   P-13627,   2020/11/13 13:16:07,           1-03,       3,       -32.264,      -222.746,         19340,      -1,    1,                                   HAUS2,                                Standard,                 H2O, 1605270073.23,         0.285,         1.050,       111.868,         0.004,         0.017,        -2.272,        79.208,        15.990,         1.946,        82.281,         0.733,         0.794,        0.0000,        0.0000,    0,        40.625,         1,       3,       1,Picarro pre rinse,       0
    24,   P-13627,   2020/11/13 13:25:16,           1-03,       4,       -32.338,      -224.914,         18969,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1605270622.06,         0.331,         0.920,       154.851,         0.005,         0.013,        -3.238,        77.349,        16.023,         1.853,        79.970,         0.733,         0.753,        0.0000,        0.0000,    0,        40.625,         1,       3,       1,Picarro pre rinse,       0
    25,   P-13627,   2020/11/13 13:34:25,           1-03,       5,       -32.597,      -225.889,         18884,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1605271170.84,         0.288,         0.852,        84.222,         0.003,         0.012,        -1.651,        76.881,        15.916,         1.903,        80.828,         0.733,         0.935,        0.0000,        0.0000,    0,        40.625,         1,       3,       1,Picarro pre rinse,       0
    26,   P-13627,   2020/11/13 13:43:34,           1-03,       6,       -32.577,      -226.588,         18901,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1605271719.81,         0.267,         0.872,        74.119,         0.002,         0.011,        -1.304,        77.411,        15.627,         1.859,        80.276,         0.733,         0.738,        0.0000,        0.0000,    0,        40.625,         1,       3,       1,Picarro pre rinse,       0
    27,   P-13627,   2020/11/13 13:52:43,           1-03,       7,       -32.611,      -227.311,         18102,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1605272269.67,         0.270,         0.918,        86.518,         0.002,         0.013,        -1.661,        73.525,        15.135,         1.834,        77.309,         0.733,         0.746,        0.0000,        0.0000,    0,        40.625,         1,       3,       1,Picarro pre rinse,       0
    28,   P-13627,   2020/11/13 14:01:52,           1-03,       8,       -32.790,      -227.896,         18182,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1605272817.76,         0.263,         0.877,        46.098,         0.003,         0.011,        -0.542,        74.190,        15.058,         1.824,        77.543,         0.733,         0.779,       -0.0000,       -0.0000,    0,        40.688,         1,       3,       1,Picarro pre rinse,       0
    29,   P-13627,   2020/11/13 14:11:01,           1-03,       9,       -32.720,      -228.367,         18775,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1605273367.27,         0.285,         0.920,       108.087,         0.003,         0.010,        -2.205,        76.552,        15.791,         1.917,        80.675,         0.733,         0.934,       -0.0000,       -0.0000,    0,        40.625,         1,       3,       1,Picarro pre rinse,       0
    30,   P-13627,   2020/11/13 14:20:11,           1-03,      10,       -32.802,      -228.167,         17646,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1605273916.32,         0.261,         0.909,        80.135,         0.002,         0.011,        -1.520,        71.341,        14.723,         1.817,        75.985,         0.733,         1.015,        0.0000,        0.0000,    0,        40.750,         1,       3,       1,Picarro pre rinse,       0
    31,   P-13628,   2020/11/13 14:29:20,           1-04,       1,       -18.564,      -119.287,         18502,      -1,    1,                                     TAP,                                Standard,                 H2O, 1605274466.23,         0.278,         1.017,        80.872,         0.000,        -0.016,        -1.449,        75.186,        15.189,         1.884,        80.485,         0.733,         0.823,       -0.0000,       -0.0000,    0,        40.750,         1,       4,       1,Picarro pre rinse,       0
    32,   P-13628,   2020/11/13 14:38:30,           1-04,       2,       -17.351,      -104.725,         19080,      -1,    1,                                     TAP,                                Standard,                 H2O, 1605275015.72,         0.231,         0.966,       121.302,         0.000,        -0.014,        -2.514,        78.177,        14.863,         1.987,        83.701,         0.733,         0.839,        0.0000,        0.0000,    0,        40.812,         1,       4,       1,Picarro pre rinse,       0
    33,   P-13628,   2020/11/13 14:47:39,           1-04,       3,       -17.424,      -100.948,         18762,      -1,    1,                                     TAP,                                Standard,                 H2O, 1605275564.51,         0.256,         0.867,        32.025,        -0.000,        -0.006,         0.499,        77.034,        14.670,         2.005,        83.741,         0.733,         1.071,        0.0000,        0.0000,    0,        40.750,         1,       4,       1,Picarro pre rinse,       0
    34,   P-13628,   2020/11/13 14:56:49,           1-04,       4,       -16.900,       -97.618,         19395,       0,    1,                                     TAP,                                Standard,                 H2O, 1605276114.36,         0.272,         0.898,       103.936,         0.001,        -0.010,        -2.267,        79.714,        15.372,         2.119,        86.906,         0.733,         1.266,        0.0000,        0.0000,    0,        40.812,         1,       4,       1,Picarro pre rinse,       0
