  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
     1,   P-13247,   2020/10/30 10:38:51,           1-01,       1,       -16.748,       -94.054,         22171,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1604051036.51,         0.254,         0.786,       139.275,         0.000,         0.003,         3.254,        94.228,        16.814,         2.496,       100.213,         0.733,         1.330,       -0.0000,       -0.0000,    0,        40.125,         1,       1,       1,Picarro pre rinse,       0
     2,   P-13247,   2020/10/30 10:47:57,           1-01,       2,       -16.460,       -92.256,         19288,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1604051583.11,         0.251,         0.832,       136.081,        -0.001,        -0.000,         3.228,        80.461,        15.143,         2.122,        86.549,         0.733,         1.112,        0.0000,        0.0000,    0,        40.062,         1,       1,       1,Picarro pre rinse,       0
     3,   P-13247,   2020/10/30 10:57:04,           1-01,       3,       -16.318,       -91.326,         20496,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1604052130.43,         0.242,         0.819,       140.580,        -0.000,        -0.001,         3.318,        85.990,        15.581,         2.337,        93.847,         0.733,         1.483,        0.0000,        0.0000,    0,        40.062,         1,       1,       1,Picarro pre rinse,       0
     4,   P-13247,   2020/10/30 11:06:11,           1-01,       4,       -16.314,       -91.115,         19814,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1604052676.11,         0.254,         0.857,       140.352,        -0.001,        -0.000,         3.329,        82.959,        14.687,         2.267,        91.069,         0.733,         1.366,        0.0000,        0.0000,    0,        40.125,         1,       1,       1,Picarro pre rinse,       0
     5,   P-13247,   2020/10/30 11:15:19,           1-01,       5,       -16.371,       -91.266,         19329,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1604053224.24,         0.269,         0.755,       137.658,        -0.001,        -0.001,         3.266,        80.654,        14.598,         2.190,        88.266,         0.733,         1.189,        0.0000,        0.0000,    0,        40.125,         1,       1,       1,Picarro pre rinse,       0
     6,   P-13247,   2020/10/30 11:24:26,           1-01,       6,       -16.353,       -91.076,         19776,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1604053771.68,         0.235,         0.791,       137.928,        -0.001,        -0.002,         3.273,        82.573,        15.345,         2.244,        90.139,         0.733,         1.332,       -0.0000,       -0.0000,    0,        40.250,         1,       1,       1,Picarro pre rinse,       0
     7,   P-13247,   2020/10/30 11:33:33,           1-01,       7,       -16.388,       -91.195,         19576,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1604054318.41,         0.276,         0.829,       142.221,        -0.001,        -0.003,         3.358,        81.781,        14.976,         2.227,        89.048,         0.733,         1.300,        0.0000,        0.0000,    0,        40.250,         1,       1,       1,Picarro pre rinse,       0
     8,   P-13247,   2020/10/30 11:42:39,           1-01,       8,       -16.377,       -90.898,         19825,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1604054864.84,         0.279,         0.838,       140.717,        -0.001,         0.001,         3.338,        82.874,        15.181,         2.218,        90.532,         0.733,         1.308,        0.0000,        0.0000,    0,        40.250,         1,       1,       1,Picarro pre rinse,       0
     9,   P-13247,   2020/10/30 11:51:46,           1-01,       9,       -16.325,       -90.801,         19843,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1604055411.43,         0.257,         0.845,       143.317,        -0.000,         0.001,         3.383,        83.232,        15.162,         2.199,        89.691,         0.733,         1.162,        0.0000,        0.0000,    0,        40.188,         1,       1,       1,Picarro pre rinse,       0
    10,   P-13247,   2020/10/30 12:00:53,           1-01,      10,       -16.323,       -90.817,         19621,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1604055958.68,         0.281,         0.733,       135.333,        -0.001,        -0.001,         3.210,        81.833,        15.320,         2.264,        89.545,         0.733,         1.462,        0.0000,        0.0000,    0,        40.312,         1,       1,       1,Picarro pre rinse,       0
    11,   P-13248,   2020/10/30 12:10:01,           1-02,       1,        -4.255,       -12.770,         19222,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1604056507.20,         0.249,         0.981,       139.931,        -0.001,        -0.013,         3.320,        80.035,        14.825,         2.164,        87.730,         0.733,         1.209,       -0.0000,       -0.0000,    0,        40.250,         1,       2,       1,Picarro pre rinse,       0
    12,   P-13248,   2020/10/30 12:19:08,           1-02,       2,        -2.845,         2.105,         19928,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1604057053.76,         0.251,         0.851,       140.514,        -0.001,        -0.008,         3.334,        83.397,        14.746,         2.285,        91.862,         0.733,         1.359,       -0.0000,       -0.0000,    0,        40.250,         1,       2,       1,Picarro pre rinse,       0
    13,   P-13248,   2020/10/30 12:28:15,           1-02,       3,        -2.449,         6.161,         20019,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1604057601.08,         0.260,         0.909,       139.696,        -0.002,        -0.007,         3.298,        84.128,        14.355,         2.316,        92.687,         0.733,         1.246,        0.0000,        0.0000,    0,        40.250,         1,       2,       1,Picarro pre rinse,       0
    14,   P-13248,   2020/10/30 12:37:24,           1-02,       4,        -2.407,         7.390,         19973,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1604058150.06,         0.268,         1.037,       138.608,         0.000,        -0.009,         3.287,        83.673,        14.933,         2.273,        91.776,         0.733,         1.336,       -0.0000,       -0.0000,    0,        40.250,         1,       2,       1,Picarro pre rinse,       0
    15,   P-13248,   2020/10/30 12:46:33,           1-02,       5,        -2.342,         8.278,         20061,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1604058698.49,         0.267,         0.942,       139.081,        -0.000,        -0.010,         3.282,        83.979,        14.967,         2.290,        92.480,         0.733,         1.343,       -0.0000,       -0.0000,    0,        40.438,         1,       2,       1,Picarro pre rinse,       0
    16,   P-13248,   2020/10/30 12:55:40,           1-02,       6,        -2.347,         8.431,         19449,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1604059245.80,         0.280,         0.821,       139.191,        -0.001,        -0.006,         3.302,        81.255,        14.385,         2.202,        89.298,         0.733,         1.118,       -0.0000,       -0.0000,    0,        40.438,         1,       2,       1,Picarro pre rinse,       0
    17,   P-13248,   2020/10/30 13:04:48,           1-02,       7,        -2.298,         8.820,         20425,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1604059793.91,         0.259,         0.939,       139.898,        -0.001,        -0.008,         3.302,        85.731,        15.320,         2.365,        94.031,         0.733,         1.290,       -0.0000,       -0.0000,    0,        40.438,         1,       2,       1,Picarro pre rinse,       0
    18,   P-13248,   2020/10/30 13:13:57,           1-02,       8,        -2.391,         8.060,         20260,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1604060342.22,         0.295,         0.866,       140.606,         0.001,         0.005,         3.318,        84.943,        14.907,         2.311,        93.963,         0.733,         1.418,        0.0000,        0.0000,    0,        40.438,         1,       2,       1,Picarro pre rinse,       0
    19,   P-13248,   2020/10/30 13:23:05,           1-02,       9,        -2.246,         9.267,         20317,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1604060890.48,         0.265,         0.849,       136.811,        -0.001,        -0.007,         3.229,        85.242,        15.333,         2.293,        93.218,         0.733,         1.296,        0.0000,        0.0000,    0,        40.438,         1,       2,       1,Picarro pre rinse,       0
    20,   P-13248,   2020/10/30 13:32:13,           1-02,      10,        -2.298,         9.162,         20171,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1604061438.84,         0.264,         0.873,       139.987,        -0.000,        -0.005,         3.302,        84.411,        15.405,         2.314,        92.242,         0.733,         1.312,        0.0000,        0.0000,    0,        40.438,         1,       2,       1,Picarro pre rinse,       0
    21,   P-13249,   2020/10/30 13:41:22,           1-03,       1,       -28.790,      -177.972,         20381,      -1,    1,                                   HAUS2,                                Standard,                 H2O, 1604061987.48,         0.265,         1.219,       141.133,         0.002,         0.023,         3.349,        85.459,        15.955,         2.294,        91.843,         0.733,         1.307,        0.0000,        0.0000,    0,        40.500,         1,       3,       1,Picarro pre rinse,       0
    22,   P-13249,   2020/10/30 13:50:30,           1-03,       2,       -32.330,      -215.411,         20496,      -1,    1,                                   HAUS2,                                Standard,                 H2O, 1604062536.25,         0.289,         1.108,       141.705,         0.001,         0.020,         3.345,        86.098,        16.747,         2.248,        90.570,         0.733,         1.246,       -0.0000,       -0.0000,    0,        40.500,         1,       3,       1,Picarro pre rinse,       0
    23,   P-13249,   2020/10/30 13:59:39,           1-03,       3,       -32.977,      -224.999,         19871,      -1,    1,                                   HAUS2,                                Standard,                 H2O, 1604063084.80,         0.263,         0.974,       141.010,         0.001,         0.015,         3.345,        83.125,        15.903,         2.217,        88.564,         0.733,         1.293,        0.0000,        0.0000,    0,        40.500,         1,       3,       1,Picarro pre rinse,       0
    24,   P-13249,   2020/10/30 14:08:47,           1-03,       4,       -33.123,      -228.336,         19601,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1604063632.50,         0.273,         0.902,       138.682,         0.001,         0.012,         3.291,        81.921,        15.738,         2.193,        86.846,         0.733,         1.241,        0.0000,        0.0000,    0,        40.500,         1,       3,       1,Picarro pre rinse,       0
    25,   P-13249,   2020/10/30 14:17:54,           1-03,       5,       -33.291,      -230.047,         20025,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1604064180.41,         0.263,         0.869,       140.888,        -0.000,         0.011,         3.342,        83.677,        16.389,         2.225,        89.170,         0.733,         1.273,       -0.0000,       -0.0000,    0,        40.562,         1,       3,       1,Picarro pre rinse,       0
    26,   P-13249,   2020/10/30 14:27:02,           1-03,       6,       -33.339,      -231.102,         20225,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1604064727.91,         0.257,         0.804,       138.629,         0.001,         0.008,         3.272,        84.731,        16.517,         2.206,        89.261,         0.733,         1.200,       -0.0000,       -0.0000,    0,        40.625,         1,       3,       1,Picarro pre rinse,       0
    27,   P-13249,   2020/10/30 14:36:10,           1-03,       7,       -33.336,      -231.704,         20269,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1604065276.29,         0.239,         0.905,       137.115,         0.000,         0.010,         3.235,        85.000,        15.887,         2.288,        91.032,         0.733,         1.311,       -0.0000,       -0.0000,    0,        40.625,         1,       3,       1,Picarro pre rinse,       0
    28,   P-13249,   2020/10/30 14:45:19,           1-03,       8,       -33.558,      -232.975,         20358,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1604065825.05,         0.303,         1.107,       148.763,         0.004,         0.019,         3.512,        85.156,        16.527,         2.291,        91.548,         0.733,         1.588,        0.0000,        0.0000,    0,        40.625,         1,       3,       1,Picarro pre rinse,       0
