  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
    16,   P-13464,   2020/11/07 11:04:21,           1-02,       6,        -2.252,         9.690,         18936,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1604743766.46,         0.250,         0.791,       135.680,         0.000,        -0.004,         3.234,        79.133,        13.460,         2.203,        88.400,         0.733,         1.203,        0.0000,        0.0000,    0,        39.875,         1,       2,       1,Picarro pre rinse,       0
    17,   P-13464,   2020/11/07 11:13:29,           1-02,       7,        -2.341,         9.463,         18499,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1604744314.42,         0.280,         0.850,       132.034,        -0.000,        -0.005,         3.148,        77.059,        13.036,         2.154,        86.896,         0.733,         1.365,       -0.0000,       -0.0000,    0,        39.938,         1,       2,       1,Picarro pre rinse,       0
    18,   P-13464,   2020/11/07 11:22:38,           1-02,       8,        -2.331,         9.730,         19002,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1604744863.17,         0.254,         0.795,       132.843,        -0.000,        -0.002,         3.152,        79.230,        13.727,         2.201,        88.283,         0.733,         1.209,       -0.0000,       -0.0000,    0,        39.875,         1,       2,       1,Picarro pre rinse,       0
    19,   P-13464,   2020/11/07 11:31:46,           1-02,       9,        -2.138,         9.949,         19075,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1604745411.23,         0.307,         0.899,       119.426,        -0.001,        -0.008,         2.832,        79.636,        13.622,         2.201,        88.825,         0.733,         1.250,        0.0000,        0.0000,    0,        39.938,         1,       2,       1,Picarro pre rinse,       0
    20,   P-13464,   2020/11/07 11:40:55,           1-02,      10,        -2.306,         9.564,         19058,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1604745960.49,         0.274,         0.902,       129.320,        -0.000,        -0.005,         3.083,        79.365,        14.169,         2.212,        88.079,         0.733,         1.282,       -0.0000,       -0.0000,    0,        40.000,         1,       2,       1,Picarro pre rinse,       0
    21,   P-13465,   2020/11/07 11:50:04,           1-03,       1,       -29.375,      -181.245,         18127,      -1,    1,                                   HAUS2,                                Standard,                 H2O, 1604746509.21,         0.255,         1.301,       123.675,         0.002,         0.025,         2.964,        75.078,        14.022,         2.027,        82.102,         0.733,         1.237,       -0.0000,       -0.0000,    0,        40.000,         1,       3,       1,Picarro pre rinse,       0
    22,   P-13465,   2020/11/07 11:59:12,           1-03,       2,       -32.463,      -215.519,         19096,      -1,    1,                                   HAUS2,                                Standard,                 H2O, 1604747057.82,         0.253,         1.240,       134.085,         0.002,         0.024,         3.182,        79.589,        14.375,         2.177,        87.768,         0.733,         1.476,       -0.0000,       -0.0000,    0,        39.938,         1,       3,       1,Picarro pre rinse,       0
    23,   P-13465,   2020/11/07 12:08:21,           1-03,       3,       -32.965,      -224.786,         19356,      -1,    1,                                   HAUS2,                                Standard,                 H2O, 1604747606.47,         0.239,         1.031,       128.112,         0.001,         0.016,         3.040,        80.850,        15.100,         2.197,        87.093,         0.733,         1.251,       -0.0000,       -0.0000,    0,        40.000,         1,       3,       1,Picarro pre rinse,       0
    24,   P-13465,   2020/11/07 12:17:30,           1-03,       4,       -33.380,      -229.101,         18749,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1604748155.47,         0.292,         1.188,       135.794,         0.003,         0.022,         3.238,        78.166,        14.587,         2.096,        83.990,         0.733,         1.079,       -0.0000,       -0.0000,    0,        40.000,         1,       3,       1,Picarro pre rinse,       0
    25,   P-13465,   2020/11/07 12:26:38,           1-03,       5,       -33.391,      -230.379,         18889,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1604748703.71,         0.246,         0.883,       133.754,         0.001,         0.011,         3.173,        78.871,        14.556,         2.090,        84.098,         0.733,         1.009,       -0.0000,       -0.0000,    0,        39.938,         1,       3,       1,Picarro pre rinse,       0
    26,   P-13465,   2020/11/07 12:35:47,           1-03,       6,       -33.454,      -231.226,         18733,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1604749252.09,         0.237,         0.906,       133.678,        -0.000,         0.013,         3.171,        78.108,        14.243,         2.130,        84.518,         0.733,         1.185,        0.0000,        0.0000,    0,        40.000,         1,       3,       1,Picarro pre rinse,       0
    27,   P-13465,   2020/11/07 12:44:55,           1-03,       7,       -33.438,      -231.993,         18671,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1604749800.89,         0.264,         0.799,       130.186,         0.001,         0.006,         3.105,        77.867,        14.662,         2.012,        82.845,         0.733,         0.982,       -0.0000,       -0.0000,    0,        40.000,         1,       3,       1,Picarro pre rinse,       0
    28,   P-13465,   2020/11/07 12:54:04,           1-03,       8,       -33.502,      -232.847,         18504,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1604750349.66,         0.248,         0.958,       130.206,         0.001,         0.012,         3.105,        77.004,        14.495,         2.032,        82.378,         0.733,         1.120,       -0.0000,       -0.0000,    0,        39.938,         1,       3,       1,Picarro pre rinse,       0
    29,   P-13465,   2020/11/07 13:03:14,           1-03,       9,       -33.546,      -233.234,         18783,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1604750898.74,         0.246,         1.055,       129.832,         0.002,         0.015,         3.095,        78.317,        14.826,         2.082,        83.313,         0.733,         1.002,        0.0000,        0.0000,    0,        40.000,         1,       3,       1,Picarro pre rinse,       0
