  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
     1,   P-13165,   2020/10/27 12:26:59,           1-01,       1,       -16.565,       -93.709,         25163,      -1,    0,                                     TAP,                            Conditioning,                 H2O, 1603798324.85,         0.252,         0.890,       147.043,         0.001,         0.010,         3.406,       108.940,        19.854,         2.797,       112.566,         0.725,         1.424,       -0.0000,       -0.0000,    0,        40.500,         1,       1,       1,Picarro pre rinse,       0
     2,   P-13165,   2020/10/27 12:36:06,           1-01,       2,       -16.694,       -94.181,         19676,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1603798871.59,         0.298,         1.110,       145.295,         0.004,         0.016,         3.455,        82.345,        16.670,         2.089,        85.428,         0.724,         0.802,        0.0000,        0.0000,    0,        40.188,         1,       1,       1,Picarro pre rinse,       0
     3,   P-13165,   2020/10/27 12:45:14,           1-01,       3,       -16.587,       -92.368,         19683,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1603799419.73,         0.277,         0.852,       142.162,         0.002,         0.008,         3.355,        82.525,        16.113,         2.076,        85.922,         0.733,         0.614,       -0.0000,       -0.0000,    0,        40.125,         1,       1,       1,Picarro pre rinse,       0
     4,   P-13165,   2020/10/27 12:54:21,           1-01,       4,       -16.480,       -92.256,         20150,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1603799967.51,         0.279,         0.854,       141.132,         0.001,         0.007,         3.338,        84.390,        17.456,         2.112,        87.262,         0.725,         0.847,       -0.0000,       -0.0000,    0,        40.125,         1,       1,       1,Picarro pre rinse,       0
     5,   P-13165,   2020/10/27 13:03:29,           1-01,       5,       -16.584,       -92.215,         19278,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1603800514.40,         0.272,         0.786,       138.175,         0.001,         0.004,         3.277,        80.460,        16.161,         2.077,        84.040,         0.733,         0.740,       -0.0000,       -0.0000,    0,        40.125,         1,       1,       1,Picarro pre rinse,       0
     6,   P-13165,   2020/10/27 13:12:36,           1-01,       6,       -16.484,       -92.073,         20457,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1603801061.80,         0.236,         0.893,       143.698,         0.002,         0.008,         3.400,        85.820,        17.525,         2.145,        89.135,         0.724,         0.972,       -0.0000,       -0.0000,    0,        40.188,         1,       1,       1,Picarro pre rinse,       0
     7,   P-13165,   2020/10/27 13:21:43,           1-01,       7,       -16.469,       -91.527,         19553,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1603801608.72,         0.265,         0.806,       141.181,         0.001,         0.006,         3.350,        81.612,        16.622,         2.070,        85.433,         0.733,         0.841,        0.0000,        0.0000,    0,        40.250,         1,       1,       1,Picarro pre rinse,       0
     8,   P-13165,   2020/10/27 13:30:51,           1-01,       8,       -16.708,       -93.291,         19466,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1603802157.22,         0.384,         1.121,       151.401,         0.006,         0.019,         3.598,        81.210,        16.978,         2.007,        84.296,         0.725,         0.815,       -0.0000,       -0.0000,    0,        40.250,         1,       1,       1,Picarro pre rinse,       0
     9,   P-13165,   2020/10/27 13:39:59,           1-01,       9,       -16.283,       -90.557,         20062,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1603802704.62,         0.271,         0.855,       140.613,        -0.001,        -0.003,         3.336,        84.123,        17.220,         2.116,        86.677,         0.733,         0.781,        0.0000,        0.0000,    0,        40.312,         1,       1,       1,Picarro pre rinse,       0
    10,   P-13165,   2020/10/27 13:49:06,           1-01,      10,       -16.521,       -92.046,         19563,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1603803251.73,         0.257,         0.931,       141.010,         0.002,         0.007,         3.350,        81.479,        17.175,         2.037,        85.502,         0.725,         0.952,        0.0000,        0.0000,    0,        40.250,         1,       1,       1,Picarro pre rinse,       0
    11,   P-13166,   2020/10/27 13:58:14,           1-02,       1,        -4.066,       -12.646,         19593,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1603803800.03,         0.236,         0.866,       142.693,         0.001,        -0.003,         3.385,        82.170,        16.254,         2.038,        85.060,         0.733,         0.454,       -0.0000,       -0.0000,    0,        40.312,         1,       2,       1,Picarro pre rinse,       0
    12,   P-13166,   2020/10/27 14:07:22,           1-02,       2,        -2.552,         2.563,         19569,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1603804347.68,         0.245,         0.888,       144.177,         0.000,        -0.003,         3.397,        81.624,        16.733,         2.072,        85.955,         0.724,         0.889,       -0.0000,       -0.0000,    0,        40.438,         1,       2,       1,Picarro pre rinse,       0
    13,   P-13166,   2020/10/27 14:16:28,           1-02,       3,        -2.426,         5.794,         19478,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1603804894.27,         0.272,         0.907,       141.117,         0.000,         0.004,         3.347,        81.411,        16.028,         2.055,        85.328,         0.733,         0.590,        0.0000,        0.0000,    0,        40.438,         1,       2,       1,Picarro pre rinse,       0
