  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
     1,   P-12975,   2020/10/19 13:12:21,           1-01,       1,       -17.795,       -98.013,         23744,      -1,    0,                                     TAP,                            Conditioning,                 H2O, 1603106246.99,         0.259,         0.793,       287.216,        -0.002,        -0.005,         6.708,       101.397,        21.906,         2.702,       104.469,         0.733,         2.063,       -0.0000,       -0.0000,    0,        40.125,         1,       1,       1,Picarro pre rinse,       0
     2,   P-12975,   2020/10/19 13:21:28,           1-01,       2,       -17.169,       -93.610,         20936,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1603106793.93,         0.255,         0.858,       265.431,        -0.002,        -0.005,         6.265,        87.680,        19.330,         2.443,        94.004,         0.733,         2.206,        0.0000,        0.0000,    0,        40.125,         1,       1,       1,Picarro pre rinse,       0
     3,   P-12975,   2020/10/19 13:30:36,           1-01,       3,       -17.130,       -92.719,         19600,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1603107342.39,         0.262,         0.835,       245.959,        -0.001,        -0.004,         5.807,        81.706,        18.347,         2.202,        85.887,         0.733,         1.698,        0.0000,        0.0000,    0,        40.188,         1,       1,       1,Picarro pre rinse,       0
     4,   P-12975,   2020/10/19 13:39:42,           1-01,       4,       -17.093,       -92.513,         19686,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1603107888.64,         0.253,         0.871,       236.308,        -0.001,        -0.003,         5.615,        82.008,        18.011,         2.287,        87.951,         0.729,         1.929,       -0.0000,       -0.0000,    0,        40.250,         1,       1,       1,Picarro pre rinse,       0
     5,   P-12975,   2020/10/19 13:48:50,           1-01,       5,       -17.008,       -92.292,         19465,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1603108435.63,         0.268,         0.827,       228.575,        -0.002,        -0.001,         5.428,        81.215,        17.783,         2.180,        85.929,         0.729,         1.684,       -0.0000,       -0.0000,    0,        40.250,         1,       1,       1,Picarro pre rinse,       0
     6,   P-12975,   2020/10/19 13:57:58,           1-01,       6,       -16.920,       -92.242,         19560,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1603108984.18,         0.297,         0.876,       219.855,        -0.003,        -0.000,         5.224,        81.753,        17.897,         2.142,        85.966,         0.729,         1.390,        0.0000,        0.0000,    0,        40.312,         1,       1,       1,Picarro pre rinse,       0
     7,   P-12975,   2020/10/19 14:07:06,           1-01,       7,       -16.889,       -92.260,         19497,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1603109531.50,         0.276,         0.839,       215.749,        -0.002,        -0.001,         5.127,        81.767,        17.667,         2.086,        84.487,         0.728,         1.148,        0.0000,        0.0000,    0,        40.438,         1,       1,       1,Picarro pre rinse,       0
     8,   P-12975,   2020/10/19 14:16:13,           1-01,       8,       -16.896,       -92.327,         19407,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1603110079.21,         0.248,         0.805,       211.561,        -0.001,        -0.004,         5.028,        81.737,        17.278,         2.007,        82.540,         0.728,         0.673,        0.0000,        0.0000,    0,        40.438,         1,       1,       1,Picarro pre rinse,       0
     9,   P-12975,   2020/10/19 14:25:20,           1-01,       9,       -16.804,       -92.133,         19496,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1603110626.17,         0.253,         0.834,       208.430,        -0.001,         0.000,         4.956,        82.063,        17.799,         1.995,        82.995,         0.728,         0.687,        0.0000,        0.0000,    0,        40.438,         1,       1,       1,Picarro pre rinse,       0
    10,   P-12975,   2020/10/19 14:34:28,           1-01,      10,       -16.785,       -92.194,         19798,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1603111174.28,         0.259,         0.824,       205.870,        -0.002,        -0.003,         4.870,        83.521,        17.905,         2.027,        84.050,         0.728,         0.657,        0.0000,        0.0000,    0,        40.438,         1,       1,       1,Picarro pre rinse,       0
    11,   P-12976,   2020/10/19 14:43:35,           1-02,       1,        -4.793,       -17.371,         19370,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1603111721.72,         0.292,         0.965,       205.596,        -0.003,        -0.013,         4.862,        81.592,        17.522,         1.961,        81.781,         0.728,         0.444,       -0.0000,       -0.0000,    0,        40.500,         1,       2,       1,Picarro pre rinse,       0
    12,   P-12976,   2020/10/19 14:52:44,           1-02,       2,        -3.217,        -1.795,         15904,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1603112269.95,         0.293,         1.048,       187.610,        -0.004,        -0.010,         4.527,        66.108,        13.812,         1.552,        66.741,         0.728,         0.058,        0.0000,        0.0000,    0,        40.500,         1,       2,       1,Picarro pre rinse,       0
    13,   P-12976,   2020/10/19 15:01:52,           1-02,       3,        -2.864,         3.405,         17487,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1603112817.96,         0.294,         0.829,       189.492,        -0.003,        -0.006,         4.549,        73.071,        15.277,         1.771,        74.981,         0.728,         0.399,       -0.0000,       -0.0000,    0,        40.500,         1,       2,       1,Picarro pre rinse,       0
    14,   P-12976,   2020/10/19 15:10:59,           1-02,       4,        -2.632,         5.978,         19675,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1603113364.71,         0.258,         1.134,       194.069,        -0.002,        -0.011,         4.611,        83.232,        17.682,         1.966,        82.490,         0.729,         0.239,       -0.0000,       -0.0000,    0,        40.562,         1,       2,       1,Picarro pre rinse,       0
    15,   P-12976,   2020/10/19 15:20:06,           1-02,       5,        -2.695,         6.314,         20420,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1603113912.11,         0.272,         0.845,       200.561,         0.001,         0.001,         4.740,        86.784,        17.674,         2.092,        87.199,         0.728,         0.431,        0.0000,        0.0000,    0,        40.500,         1,       2,       1,Picarro pre rinse,       0
    16,   P-12976,   2020/10/19 15:29:14,           1-02,       6,        -2.579,         7.432,         20188,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1603114459.96,         0.258,         0.856,       198.259,         0.002,         0.003,         4.681,        86.052,        16.608,         2.068,        86.986,         0.733,         0.327,       -0.0000,       -0.0000,    0,        40.500,         1,       2,       1,Picarro pre rinse,       0
    17,   P-12976,   2020/10/19 15:38:21,           1-02,       7,        -2.610,         7.874,         20097,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1603115006.58,         0.255,         0.834,       195.817,         0.001,         0.003,         4.646,        85.376,        15.932,         2.188,        89.175,         0.733,         0.756,        0.0000,        0.0000,    0,        40.500,         1,       2,       1,Picarro pre rinse,       0
    18,   P-12976,   2020/10/19 15:47:29,           1-02,       8,        -2.525,         8.394,         19598,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1603115555.23,         0.262,         0.838,       194.687,         0.001,         0.004,         4.619,        83.042,        14.723,         2.168,        89.340,         0.733,         1.020,       -0.0000,       -0.0000,    0,        40.438,         1,       2,       1,Picarro pre rinse,       0
    19,   P-12976,   2020/10/19 15:56:37,           1-02,       9,        -2.445,         9.329,         18467,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1603116103.20,         0.253,         0.900,       189.691,        -0.001,        -0.006,         4.524,        77.951,        13.115,         2.089,        85.551,         0.733,         1.066,        0.0000,        0.0000,    0,        40.438,         1,       2,       1,Picarro pre rinse,       0
    20,   P-12976,   2020/10/19 16:05:46,           1-02,      10,        -2.598,         8.684,         19056,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1603116651.66,         0.268,         0.801,       185.203,        -0.001,        -0.000,         4.416,        80.782,        13.375,         2.150,        87.958,         0.733,         1.005,       -0.0000,       -0.0000,    0,        40.438,         1,       2,       1,Picarro pre rinse,       0
    21,   P-12977,   2020/10/19 16:14:53,           1-03,       1,       -28.208,      -169.760,         18640,      -1,    1,                                   HAUS2,                                Standard,                 H2O, 1603117199.33,         0.252,         1.166,       184.738,         0.002,         0.020,         4.406,        79.070,        13.333,         2.046,        83.913,         0.733,         0.889,        0.0000,        0.0000,    0,        40.438,         1,       3,       1,Picarro pre rinse,       0
    22,   P-12977,   2020/10/19 16:24:01,           1-03,       2,       -32.082,      -210.788,         20150,      -1,    1,                                   HAUS2,                                Standard,                 H2O, 1603117747.35,         0.303,         1.367,       189.865,         0.003,         0.027,         4.492,        85.575,        15.399,         2.249,        91.102,         0.732,         1.360,        0.0000,        0.0000,    0,        40.500,         1,       3,       1,Picarro pre rinse,       0
    23,   P-12977,   2020/10/19 16:33:08,           1-03,       3,       -32.724,      -221.857,         19415,      -1,    1,                                   HAUS2,                                Standard,                 H2O, 1603118294.46,         0.241,         1.048,       184.446,         0.001,         0.017,         4.376,        81.899,        14.848,         2.272,        88.655,         0.733,         1.537,       -0.0000,       -0.0000,    0,        40.438,         1,       3,       1,Picarro pre rinse,       0
    24,   P-12977,   2020/10/19 16:42:17,           1-03,       4,       -33.214,      -227.014,         19989,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1603118842.56,         0.258,         1.207,       192.813,         0.003,         0.022,         4.553,        84.725,        15.041,         2.327,        91.059,         0.733,         1.519,        0.0000,        0.0000,    0,        40.438,         1,       3,       1,Picarro pre rinse,       0
    25,   P-12977,   2020/10/19 16:51:25,           1-03,       5,       -33.079,      -227.937,         20450,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1603119390.57,         0.253,         0.872,       186.498,         0.000,         0.012,         4.389,        86.521,        16.561,         2.317,        91.877,         0.732,         1.589,       -0.0000,       -0.0000,    0,        40.375,         1,       3,       1,Picarro pre rinse,       0
    26,   P-12977,   2020/10/19 17:00:32,           1-03,       6,       -33.392,      -230.173,         19830,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1603119937.44,         0.243,         0.935,       183.837,         0.001,         0.013,         4.365,        82.897,        16.969,         2.295,        89.954,         0.733,         1.861,        0.0000,        0.0000,    0,        40.375,         1,       3,       1,Picarro pre rinse,       0
    27,   P-12977,   2020/10/19 17:09:41,           1-03,       7,       -33.335,      -230.575,         19259,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1603120486.36,         0.271,         0.864,       182.263,         0.001,         0.010,         4.328,        80.189,        17.091,         2.212,        86.089,         0.733,         1.748,        0.0000,        0.0000,    0,        40.438,         1,       3,       1,Picarro pre rinse,       0
    28,   P-12977,   2020/10/19 17:18:49,           1-03,       8,       -33.526,      -231.258,         19449,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1603121034.53,         0.232,         0.848,       182.848,        -0.000,         0.009,         4.341,        80.850,        17.807,         2.226,        85.936,         0.733,         1.789,       -0.0000,       -0.0000,    0,        40.438,         1,       3,       1,Picarro pre rinse,       0
    29,   P-12977,   2020/10/19 17:27:56,           1-03,       9,       -33.504,      -231.602,         19209,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1603121582.13,         0.225,         0.775,       178.639,        -0.000,         0.007,         4.239,        79.398,        18.134,         2.187,        84.718,         0.733,         1.868,       -0.0000,       -0.0000,    0,        40.438,         1,       3,       1,Picarro pre rinse,       0
    30,   P-12977,   2020/10/19 17:37:05,           1-03,      10,       -33.613,      -232.415,         19347,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1603122130.94,         0.245,         0.982,       179.595,         0.000,         0.013,         4.284,        80.030,        18.328,         2.197,        85.101,         0.733,         1.893,        0.0000,        0.0000,    0,        40.438,         1,       3,       1,Picarro pre rinse,       0
    31,   P-12978,   2020/10/19 17:46:14,           1-04,       1,       -19.365,      -125.692,         18502,      -1,    1,                                     TAP,                                Standard,                 H2O, 1603122679.97,         0.280,         0.950,       173.125,        -0.003,        -0.011,         4.129,        76.079,        17.353,         2.128,        82.448,         0.733,         1.825,        0.0000,        0.0000,    0,        40.375,         1,       4,       1,Picarro pre rinse,       0
    32,   P-12978,   2020/10/19 17:55:23,           1-04,       2,       -17.428,      -103.126,         19295,      -1,    1,                                     TAP,                                Standard,                 H2O, 1603123228.39,         0.253,         0.838,       176.762,        -0.001,        -0.002,         4.216,        79.664,        17.779,         2.249,        87.224,         0.733,         2.061,        0.0000,        0.0000,    0,        40.375,         1,       4,       1,Picarro pre rinse,       0
    33,   P-12978,   2020/10/19 18:04:31,           1-04,       3,       -17.053,       -96.580,         19498,      -1,    1,                                     TAP,                                Standard,                 H2O, 1603123776.88,         0.269,         0.858,       180.309,        -0.001,        -0.002,         4.279,        80.613,        18.771,         2.200,        85.264,         0.733,         1.731,        0.0000,        0.0000,    0,        40.375,         1,       4,       1,Picarro pre rinse,       0
