;Identifier 1;d18O counts;d18O vsmow;d18O stdev. vsmow;d2H counts;d2H vsmow;d2H stdev. vsmow;RUN_ID;NickName
37;EE-38;4;-12.365.113.687.683.900;0.02436795336375051;4;-883.205.808.773.198;0.1902948857772005;20191209;2019 12 09 TR Eisgruben Run 03
38;EE-39;4;-13.578.469.606.717.100;0.05103169259477829;4;-9.526.547.427.695.500;0.22572294892171513;20191209;2019 12 09 TR Eisgruben Run 03
39;EE-40;4;-12.818.223.573.911.200;0.026890368279003703;4;-8.987.890.034.251.750;0.18408721776790338;20191209;2019 12 09 TR Eisgruben Run 03
40;EE-41;4;-12.894.261.980.553.000;0.0216255620032247;4;-9.105.861.628.428.050;0.18079644765909747;20191209;2019 12 09 TR Eisgruben Run 03
41;EE-42;4;-12.605.431.581.668.400;0.04468725802513928;4;-8.763.554.538.190.590;0.4247848405743683;20191209;2019 12 09 TR Eisgruben Run 03
42;EE-43;4;-1.137.231.255.499.950;0.029107301258784038;4;-8.013.776.598.857.880;0.17422697031875753;20191209;2019 12 09 TR Eisgruben Run 03
43;EE-44;4;-13.774.003.320.449.200;0.01659282894649435;4;-9.800.971.217.166.720;0.23395660321079886;20191209;2019 12 09 TR Eisgruben Run 03
44;EE-45;4;-13.010.860.042.953.300;0.036445413276358155;4;-9.196.418.930.136.670;0.29488488237824695;20191209;2019 12 09 TR Eisgruben Run 03
45;EE-46;4;-11.107.969.915.188.900;0.01881824697019163;4;-7.876.348.146.064.110;0.11034361141968164;20191209;2019 12 09 TR Eisgruben Run 03
46;EE-47;4;-9.953.915.197.905.630;0.03183880583052279;4;-6.913.598.685.332.150;0.1288909958240784;20191210;2019 12 10 TR Eisgruben Run 04
47;EE-48;4;-1.161.146.168.237.420;0.08773872568181891;4;-8.147.219.268.074.390;0.5421510529169281;20191210;2019 12 10 TR Eisgruben Run 04
48;EE-49;4;-15.659.739.274.674.400;0.051674004891020676;4;-10.916.357.792.602.500;0.2699183358607327;20191210;2019 12 10 TR Eisgruben Run 04
92;EE-5-WH;3;-11.930.263.583.900.500;0.04298651022535969;3;-8.447.538.283.521.730;0.35976400955318294;20191212;2019 12 12 TR Eisgruben Run05 FullRerun
49;EE-50;4;-11.346.169.882.602.800;0.06264163563617438;4;-7.886.627.473.923.760;0.42899213976441053;20191210;2019 12 10 TR Eisgruben Run 04
