,Identifier 1,d18O counts,d18O vsmow,d18O stdev. vsmow,d2H counts,d2H vsmow,d2H stdev. vsmow,RUN_ID,NickName
62,GE-51,4,-11.010412362443093,0.019906436350989723,4,-78.55187748316129,0.23845778924126543,20191205,2019 12 05 TR Guffert Run04
63,GE-52,3,-10.670374199133983,0.0824116392890678,4,-74.12396790822228,0.3320867058851291,20191205,2019 12 05 TR Guffert Run04
64,GE-53,4,-10.36236495819403,0.02623314493645179,4,-72.1493946669705,0.13145747765779692,20191205,2019 12 05 TR Guffert Run04
65,GE-54,4,-10.48725926841135,0.011493605372099647,4,-71.37484519423597,0.08985738010473088,20191205,2019 12 05 TR Guffert Run04
50,GE-W1,2,-10.8875400685381,0.07736112791505166,2,-73.87132618320062,0.12415974521017895,20191205,2019 12 05 TR Guffert Run04
51,GE-W2,4,-10.850679561156678,0.06936084589294034,4,-73.48772918861181,0.3925063764878552,20191205,2019 12 05 TR Guffert Run04
52,GE-W3,3,-10.89574730132481,0.07762155040514358,4,-74.04799752411036,0.7832286742436468,20191205,2019 12 05 TR Guffert Run04
47,GE-X1,3,-9.143150806986434,0.07535977001857963,3,-63.284652916835846,0.23642392539125354,20191205,2019 12 05 TR Guffert Run04
48,GE-X2,4,-9.121485328482645,0.02102588736131731,4,-63.223470293247594,0.4425056317888138,20191205,2019 12 05 TR Guffert Run04
49,GE-X3,4,-9.535812334117537,0.01701878760274955,4,-66.03228855965268,0.07089002562708371,20191205,2019 12 05 TR Guffert Run04
