  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
     1,    P-9122,   2019/01/09 10:27:48,           1-01,       1,       -16.721,       -94.344,         25463,      -1,    0,                                     TAP,                            Conditioning,                 H2O, 1547026374.29,         0.251,         0.746,       139.181,         0.001,         0.003,         3.217,       110.539,        20.738,         2.734,       110.248,         0.727,         0.911,        0.0000,        0.0000,    0,        39.312,         1,       1,       1,Picarro pre rinse,       0
     2,    P-9122,   2019/01/09 10:36:56,           1-01,       2,       -16.698,       -93.374,         20402,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1547026921.79,         0.240,         0.794,       132.567,        -0.000,         0.002,         3.129,        85.530,        17.599,         2.151,        88.762,         0.726,         0.909,       -0.0000,       -0.0000,    0,        39.188,         1,       1,       1,Picarro pre rinse,       0
     3,    P-9122,   2019/01/09 10:46:04,           1-01,       3,       -16.657,       -92.655,         21203,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1547027469.33,         0.274,         0.876,       138.949,        -0.001,        -0.001,         3.262,        89.297,        18.270,         2.218,        91.621,         0.726,         0.885,        0.0000,        0.0000,    0,        39.188,         1,       1,       1,Picarro pre rinse,       0
     4,    P-9122,   2019/01/09 10:55:12,           1-01,       4,       -16.654,       -92.655,         20773,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1547028017.49,         0.259,         0.847,       137.941,         0.000,        -0.000,         3.258,        87.378,        18.464,         2.130,        87.513,         0.726,         0.567,        0.0000,        0.0000,    0,        39.312,         1,       1,       1,Picarro pre rinse,       0
     5,    P-9122,   2019/01/09 11:04:18,           1-01,       5,       -16.662,       -92.624,         20195,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1547028564.23,         0.272,         0.811,       132.744,        -0.001,         0.001,         3.118,        84.578,        18.225,         2.002,        84.793,         0.726,         0.480,        0.0000,        0.0000,    0,        39.312,         1,       1,       1,Picarro pre rinse,       0
     6,    P-9122,   2019/01/09 11:13:26,           1-01,       6,       -16.692,       -92.687,         19982,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1547029112.16,         0.282,         0.827,       136.766,        -0.002,         0.001,         3.229,        83.194,        18.916,         2.002,        83.180,         0.726,         0.494,       -0.0000,       -0.0000,    0,        39.188,         1,       1,       1,Picarro pre rinse,       0
     7,    P-9122,   2019/01/09 11:22:34,           1-01,       7,       -16.837,       -94.071,         19919,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1547029659.88,         0.398,         1.259,       157.892,         0.007,         0.021,         3.711,        83.165,        19.052,         1.911,        81.629,         0.725,         0.289,       -0.0000,       -0.0000,    0,        39.000,         1,       1,       1,Picarro pre rinse,       0
     8,    P-9122,   2019/01/09 11:31:42,           1-01,       8,       -16.400,       -91.670,         20720,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1547030207.87,         0.252,         0.799,       137.423,        -0.001,        -0.002,         3.233,        86.919,        20.649,         1.916,        82.323,         0.725,        -0.018,       -0.0000,       -0.0000,    0,        38.875,         1,       1,       1,Picarro pre rinse,       0
     9,    P-9122,   2019/01/09 11:40:49,           1-01,       9,       -16.600,       -92.354,         20145,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1547030754.91,         0.266,         0.917,       136.464,        -0.001,         0.000,         3.224,        83.996,        19.457,         1.946,        83.367,         0.725,         0.390,        0.0000,        0.0000,    0,        38.812,         1,       1,       1,Picarro pre rinse,       0
    10,    P-9122,   2019/01/09 11:49:56,           1-01,      10,       -16.649,       -92.718,         20115,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1547031302.02,         0.266,         0.938,       134.867,         0.001,         0.006,         3.188,        84.070,        19.286,         1.896,        82.016,         0.725,         0.090,        0.0000,        0.0000,    0,        38.812,         1,       1,       1,Picarro pre rinse,       0
