  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
     1,   P-10472,   2019/10/15 11:55:59,           1-01,       1,       -16.342,       -96.173,         25181,      -1,    0,                                     TAP,                            Conditioning,                 H2O, 1571133665.64,         0.341,         1.083,       214.138,         0.006,         0.018,         4.899,       106.302,        23.373,         2.497,       104.628,         0.724,         0.947,       -0.0000,       -0.0000,    0,        43.688,         1,       1,       1,Picarro pre rinse,       0
     2,   P-10472,   2019/10/15 12:05:07,           1-01,       2,       -16.350,       -92.579,         22618,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1571134212.96,         0.252,         0.867,       119.171,        -0.000,        -0.002,         2.793,        95.754,        20.346,         2.331,        96.177,         0.723,         0.959,       -0.0000,       -0.0000,    0,        43.250,         1,       1,       1,Picarro pre rinse,       0
     3,   P-10472,   2019/10/15 12:14:15,           1-01,       3,       -16.214,       -92.237,         21988,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1571134761.59,         0.258,         0.858,       115.920,        -0.001,        -0.002,         2.701,        92.392,        20.246,         2.272,        94.030,         0.724,         1.029,       -0.0000,       -0.0000,    0,        43.188,         1,       1,       1,Picarro pre rinse,       0
     4,   P-10472,   2019/10/15 12:23:24,           1-01,       4,       -16.264,       -92.681,         21514,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1571135310.17,         0.258,         0.834,       116.556,        -0.000,        -0.005,         2.733,        90.551,        20.595,         2.123,        88.686,         0.723,         0.602,       -0.0000,       -0.0000,    0,        43.250,         1,       1,       1,Picarro pre rinse,       0
     5,   P-10472,   2019/10/15 12:32:32,           1-01,       5,       -16.523,       -92.904,         20723,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1571135858.20,         0.265,         0.839,       120.815,        -0.001,        -0.001,         2.835,        86.932,        19.964,         2.040,        85.295,         0.723,         0.550,       -0.0000,       -0.0000,    0,        43.250,         1,       1,       1,Picarro pre rinse,       0
     6,   P-10472,   2019/10/15 12:41:40,           1-01,       6,       -16.311,       -92.532,         21461,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1571136406.30,         0.266,         0.894,       117.005,        -0.001,        -0.003,         2.733,        90.810,        20.912,         2.071,        88.160,         0.723,         0.549,       -0.0000,       -0.0000,    0,        43.312,         1,       1,       1,Picarro pre rinse,       0
     7,   P-10472,   2019/10/15 12:50:47,           1-01,       7,       -16.422,       -92.903,         20562,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1571136953.58,         0.257,         0.880,       120.586,        -0.001,        -0.003,         2.832,        86.284,        19.898,         1.981,        84.477,         0.722,         0.380,       -0.0000,       -0.0000,    0,        43.312,         1,       1,       1,Picarro pre rinse,       0
     8,   P-10472,   2019/10/15 12:59:54,           1-01,       8,       -16.316,       -92.707,         20916,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1571137500.52,         0.246,         0.836,       124.785,        -0.001,        -0.000,         2.930,        87.474,        21.038,         2.000,        85.418,         0.723,         0.569,        0.0000,        0.0000,    0,        43.312,         1,       1,       1,Picarro pre rinse,       0
     9,   P-10472,   2019/10/15 13:09:02,           1-01,       9,       -16.285,       -92.676,         20660,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1571138047.79,         0.262,         0.890,       123.914,        -0.001,         0.000,         2.923,        86.194,        20.928,         1.975,        84.120,         0.723,         0.471,        0.0000,        0.0000,    0,        43.250,         1,       1,       1,Picarro pre rinse,       0
    10,   P-10472,   2019/10/15 13:18:10,           1-01,      10,       -16.283,       -92.584,         20361,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1571138596.00,         0.260,         0.900,       125.192,        -0.001,        -0.002,         2.940,        84.707,        20.262,         1.966,        84.314,         0.722,         0.739,       -0.0000,       -0.0000,    0,        43.250,         1,       1,       1,Picarro pre rinse,       0
