  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
     1,   P-11228,   2019/11/16 13:08:05,           1-01,       1,       -15.992,       -91.264,         24827,      -1,    0,                                     TAP,                            Conditioning,                 H2O, 1573906391.45,         0.263,         0.906,       136.962,         0.002,         0.009,         3.201,       106.441,        19.497,         2.863,       112.968,         0.733,         1.770,        0.0000,        0.0000,    0,        40.062,         1,       1,       1,Picarro pre rinse,       0
     2,   P-11228,   2019/11/16 13:17:18,           1-01,       2,       -16.313,       -91.368,         21153,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1573906943.48,         0.269,         0.738,       133.175,        -0.000,        -0.001,         3.142,        89.085,        16.413,         2.395,        94.674,         0.733,         1.156,       -0.0000,       -0.0000,    0,        40.062,         1,       1,       1,Picarro pre rinse,       0
     3,   P-11228,   2019/11/16 13:26:31,           1-01,       3,       -16.453,       -91.575,         19681,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1573907496.48,         0.252,         0.782,       133.550,        -0.000,         0.006,         3.168,        82.219,        14.924,         2.193,        89.547,         0.733,         1.181,        0.0000,        0.0000,    0,        40.125,         1,       1,       1,Picarro pre rinse,       0
     4,   P-11228,   2019/11/16 13:35:43,           1-01,       4,       -16.576,       -91.959,         19597,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1573908049.62,         0.272,         0.832,       130.036,         0.002,         0.006,         3.085,        82.049,        15.167,         2.141,        87.087,         0.733,         0.934,        0.0000,        0.0000,    0,        40.250,         1,       1,       1,Picarro pre rinse,       0
     5,   P-11228,   2019/11/16 13:44:57,           1-01,       5,       -16.500,       -91.524,         19962,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1573908602.78,         0.257,         0.852,       129.061,         0.001,         0.004,         3.062,        83.498,        15.522,         2.232,        90.199,         0.733,         1.241,       -0.0000,       -0.0000,    0,        40.188,         1,       1,       1,Picarro pre rinse,       0
     6,   P-11228,   2019/11/16 13:54:10,           1-01,       6,       -16.495,       -91.792,         20095,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1573909156.29,         0.240,         0.848,       135.043,         0.001,         0.007,         3.188,        84.643,        15.464,         2.208,        89.279,         0.733,         0.784,       -0.0000,       -0.0000,    0,        40.188,         1,       1,       1,Picarro pre rinse,       0
     7,   P-11228,   2019/11/16 14:03:24,           1-01,       7,       -16.481,       -91.269,         19389,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1573909710.09,         0.285,         0.835,       128.144,         0.000,        -0.002,         3.056,        80.928,        15.116,         2.160,        87.899,         0.733,         1.242,       -0.0000,       -0.0000,    0,        40.188,         1,       1,       1,Picarro pre rinse,       0
     8,   P-11228,   2019/11/16 14:12:38,           1-01,       8,       -16.420,       -91.243,         19991,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1573910263.58,         0.253,         0.825,       132.667,        -0.000,         0.001,         3.131,        84.119,        15.655,         2.192,        88.486,         0.733,         0.912,       -0.0000,       -0.0000,    0,        40.125,         1,       1,       1,Picarro pre rinse,       0
     9,   P-11228,   2019/11/16 14:21:50,           1-01,       9,       -16.506,       -91.292,         19540,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1573910816.15,         0.245,         0.904,       128.437,        -0.000,         0.005,         3.048,        81.851,        15.546,         2.151,        87.414,         0.733,         1.041,        0.0000,        0.0000,    0,        40.125,         1,       1,       1,Picarro pre rinse,       0
    10,   P-11228,   2019/11/16 14:31:02,           1-01,      10,       -16.536,       -91.326,         19573,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1573911368.17,         0.252,         0.859,       127.931,         0.000,        -0.001,         3.034,        82.161,        15.247,         2.184,        88.643,         0.733,         1.207,        0.0000,        0.0000,    0,        40.188,         1,       1,       1,Picarro pre rinse,       0
    11,   P-11229,   2019/11/16 14:40:17,           1-02,       1,        -4.121,       -11.058,         19308,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1573911922.24,         0.273,         0.978,       129.415,        -0.001,        -0.013,         3.084,        80.759,        15.112,         2.159,        86.820,         0.733,         1.015,       -0.0000,       -0.0000,    0,        40.188,         1,       2,       1,Picarro pre rinse,       0
    12,   P-11229,   2019/11/16 14:49:29,           1-02,       2,        -2.769,         2.714,         19135,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1573912475.25,         0.259,         0.913,       126.258,        -0.001,        -0.009,         3.011,        80.152,        14.925,         2.027,        84.666,         0.733,         0.650,        0.0000,        0.0000,    0,        40.188,         1,       2,       1,Picarro pre rinse,       0
    13,   P-11229,   2019/11/16 14:58:44,           1-02,       3,        -2.629,         5.730,         19411,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1573913029.83,         0.264,         0.821,       128.632,        -0.001,        -0.006,         3.052,        81.358,        14.879,         2.130,        87.567,         0.733,         0.923,        0.0000,        0.0000,    0,        40.312,         1,       2,       1,Picarro pre rinse,       0
    14,   P-11229,   2019/11/16 15:07:57,           1-02,       4,        -2.493,         7.271,         19322,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1573913582.56,         0.276,         0.801,       128.605,        -0.000,        -0.004,         3.066,        80.699,        14.803,         2.155,        87.621,         0.733,         1.100,       -0.0000,       -0.0000,    0,        40.375,         1,       2,       1,Picarro pre rinse,       0
    15,   P-11229,   2019/11/16 15:17:10,           1-02,       5,        -2.422,         8.157,         19547,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1573914135.30,         0.302,         0.839,       131.341,        -0.001,        -0.004,         3.132,        81.722,        15.076,         2.182,        88.846,         0.733,         1.140,        0.0000,        0.0000,    0,        40.125,         1,       2,       1,Picarro pre rinse,       0
    16,   P-11229,   2019/11/16 15:26:24,           1-02,       6,        -2.445,         8.412,         19618,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1573914690.15,         0.257,         0.794,       128.910,        -0.000,        -0.005,         3.059,        82.282,        15.248,         2.194,        88.159,         0.733,         0.999,       -0.0000,       -0.0000,    0,        40.125,         1,       2,       1,Picarro pre rinse,       0
    17,   P-11229,   2019/11/16 15:35:38,           1-02,       7,        -2.414,         8.744,         19345,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1573915243.69,         0.250,         0.769,       128.746,         0.000,        -0.002,         3.054,        80.859,        14.673,         2.168,        88.398,         0.733,         1.173,        0.0000,        0.0000,    0,        40.125,         1,       2,       1,Picarro pre rinse,       0
    18,   P-11229,   2019/11/16 15:44:51,           1-02,       8,        -2.392,         9.173,         19834,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1573915796.69,         0.256,         0.855,       129.409,        -0.000,        -0.005,         3.071,        83.189,        14.681,         2.295,        91.822,         0.733,         1.310,       -0.0000,       -0.0000,    0,        40.125,         1,       2,       1,Picarro pre rinse,       0
    19,   P-11229,   2019/11/16 15:54:05,           1-02,       9,        -2.390,         9.466,         19763,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1573916350.18,         0.260,         0.884,       133.407,        -0.001,        -0.002,         3.165,        83.018,        14.584,         2.238,        90.357,         0.733,         1.059,       -0.0000,       -0.0000,    0,        40.125,         1,       2,       1,Picarro pre rinse,       0
