  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
     1,    P-9095,   2019/01/08 12:41:45,           1-01,       1,       -18.029,      -103.198,         26807,      -1,    0,                                     TAP,                            Conditioning,                 H2O, 1546948012.35,         0.272,         0.802,       788.880,        -0.000,         0.000,        18.263,       115.547,        25.551,         3.006,       116.676,         0.733,         2.346,        0.0000,        0.0000,    0,        36.438,         1,       1,       1,Picarro pre rinse,       0
     2,    P-9095,   2019/01/08 12:50:53,           1-01,       2,       -17.396,       -96.055,         20014,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1546948559.16,         0.257,         0.832,       364.375,        -0.003,        -0.005,         8.649,        82.797,        19.467,         2.219,        86.949,         0.733,         1.752,       -0.0000,       -0.0000,    0,        36.500,         1,       1,       1,Picarro pre rinse,       0
     3,    P-9095,   2019/01/08 13:00:01,           1-01,       3,       -17.532,       -94.726,         19778,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1546949106.44,         0.289,         0.866,       280.553,        -0.003,        -0.004,         6.625,        81.643,        19.549,         2.134,        85.350,         0.733,         1.580,       -0.0000,       -0.0000,    0,        36.562,         1,       1,       1,Picarro pre rinse,       0
     4,    P-9095,   2019/01/08 13:09:08,           1-01,       4,       -17.414,       -94.051,         19629,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1546949653.85,         0.284,         0.872,       245.830,        -0.002,        -0.004,         5.804,        81.035,        19.524,         2.098,        83.620,         0.733,         1.325,       -0.0000,       -0.0000,    0,        36.688,         1,       1,       1,Picarro pre rinse,       0
     5,    P-9095,   2019/01/08 13:18:15,           1-01,       5,       -17.937,       -95.832,         19196,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1546950200.89,         0.382,         1.219,       254.503,         0.007,         0.020,         6.040,        78.412,        19.119,         2.155,        84.954,         0.733,         1.900,        0.0000,        0.0000,    0,        36.875,         1,       1,       1,Picarro pre rinse,       0
     6,    P-9095,   2019/01/08 13:27:22,           1-01,       6,       -17.075,       -92.645,         19280,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1546950747.84,         0.267,         0.788,       207.156,        -0.002,        -0.002,         4.916,        78.858,        19.289,         2.155,        84.593,         0.733,         1.838,        0.0000,        0.0000,    0,        36.938,         1,       1,       1,Picarro pre rinse,       0
     7,    P-9095,   2019/01/08 13:36:29,           1-01,       7,       -17.191,       -92.837,         19252,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1546951294.50,         0.254,         0.845,       193.690,        -0.001,        -0.005,         4.573,        78.234,        19.787,         2.201,        85.838,         0.733,         2.221,       -0.0000,       -0.0000,    0,        37.000,         1,       1,       1,Picarro pre rinse,       0
     8,    P-9095,   2019/01/08 13:45:36,           1-01,       8,       -17.150,       -93.215,         19800,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1546951841.35,         0.256,         0.914,       192.332,        -0.000,         0.007,         4.541,        81.003,        20.053,         2.283,        87.738,         0.733,         2.099,       -0.0000,       -0.0000,    0,        37.062,         1,       1,       1,Picarro pre rinse,       0
     9,    P-9095,   2019/01/08 13:54:43,           1-01,       9,       -17.020,       -92.286,         19852,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1546952388.68,         0.269,         0.753,       183.017,        -0.000,        -0.001,         4.341,        81.250,        20.143,         2.235,        87.607,         0.733,         2.054,       -0.0000,       -0.0000,    0,        37.062,         1,       1,       1,Picarro pre rinse,       0
    10,    P-9095,   2019/01/08 14:03:50,           1-01,      10,       -17.071,       -92.473,         19212,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1546952936.34,         0.283,         0.817,       179.389,        -0.002,        -0.002,         4.256,        78.371,        19.648,         2.138,        83.587,         0.733,         1.936,       -0.0000,       -0.0000,    0,        37.000,         1,       1,       1,Picarro pre rinse,       0
