  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
     1,    P-9527,   2019/04/17 09:55:22,           1-01,       1,       -17.132,       -93.756,         26767,      -1,    0,                                     TAP,                            Conditioning,                 H2O, 1555488028.16,         0.704,         1.841,       402.980,         0.015,         0.039,         9.337,       113.386,        27.489,         3.099,       117.037,         0.733,         2.844,       -0.0000,       -0.0000,    0,        40.438,         1,       1,       1,Picarro pre rinse,       0
     2,    P-9527,   2019/04/17 10:04:29,           1-01,       2,       -16.694,       -92.618,         20984,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1555488575.43,         0.511,         1.355,       185.085,         0.010,         0.025,         4.331,        86.146,        21.221,         2.345,        91.263,         0.732,         1.921,       -0.0000,       -0.0000,    0,        40.438,         1,       1,       1,Picarro pre rinse,       0
     3,    P-9527,   2019/04/17 10:13:37,           1-01,       3,       -16.372,       -90.601,         21207,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1555489123.13,         0.260,         0.861,       134.520,        -0.000,         0.003,         3.159,        87.685,        20.318,         2.385,        93.144,         0.733,         1.884,        0.0000,        0.0000,    0,        40.562,         1,       1,       1,Picarro pre rinse,       0
     4,    P-9527,   2019/04/17 10:22:45,           1-01,       4,       -17.136,       -93.479,         20733,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1555489670.82,         0.659,         1.593,       231.336,         0.014,         0.033,         5.401,        85.915,        19.173,         2.329,        91.014,         0.733,         1.598,        0.0000,        0.0000,    0,        40.812,         1,       1,       1,Picarro pre rinse,       0
     5,    P-9527,   2019/04/17 10:31:53,           1-01,       5,       -16.427,       -90.496,         20459,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1555490218.37,         0.252,         0.833,       135.207,        -0.001,         0.002,         3.191,        84.970,        17.651,         2.305,        91.680,         0.733,         1.658,        0.0000,        0.0000,    0,        40.812,         1,       1,       1,Picarro pre rinse,       0
     6,    P-9527,   2019/04/17 10:41:00,           1-01,       6,       -16.677,       -91.285,         20310,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1555490766.12,         0.259,         0.869,       133.302,        -0.000,         0.002,         3.145,        84.543,        16.790,         2.263,        91.178,         0.733,         1.328,       -0.0000,       -0.0000,    0,        40.812,         1,       1,       1,Picarro pre rinse,       0
     7,    P-9527,   2019/04/17 10:50:08,           1-01,       7,       -16.694,       -91.366,         20672,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1555491314.21,         0.252,         0.818,       130.198,        -0.001,        -0.000,         3.088,        86.379,        16.867,         2.349,        93.468,         0.733,         1.545,        0.0000,        0.0000,    0,        40.875,         1,       1,       1,Picarro pre rinse,       0
     8,    P-9527,   2019/04/17 10:59:17,           1-01,       8,       -16.729,       -91.728,         20458,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1555491862.52,         0.265,         0.797,       131.020,        -0.000,         0.001,         3.093,        85.662,        16.244,         2.300,        92.377,         0.733,         1.383,        0.0000,        0.0000,    0,        40.812,         1,       1,       1,Picarro pre rinse,       0
     9,    P-9527,   2019/04/17 11:08:25,           1-01,       9,       -16.758,       -92.032,         20156,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1555492410.97,         0.270,         0.915,       136.670,         0.002,         0.010,         3.226,        84.150,        15.771,         2.295,        92.060,         0.733,         1.401,       -0.0000,       -0.0000,    0,        40.812,         1,       1,       1,Picarro pre rinse,       0
    10,    P-9527,   2019/04/17 11:17:33,           1-01,      10,       -16.641,       -91.059,         21108,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1555492958.50,         0.261,         0.777,       129.986,        -0.000,         0.001,         3.068,        88.977,        16.301,         2.376,        95.267,         0.733,         1.321,       -0.0000,       -0.0000,    0,        41.000,         1,       1,       1,Picarro pre rinse,       0
    11,    P-9528,   2019/04/17 11:26:42,           1-02,       1,        -3.909,        -8.730,         20201,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1555493508.29,         0.286,         0.918,       129.667,        -0.001,        -0.010,         3.073,        83.962,        16.153,         2.321,        93.871,         0.730,         1.850,        0.0000,        0.0000,    0,        40.875,         1,       2,       1,Picarro pre rinse,       0
    12,    P-9528,   2019/04/17 11:35:51,           1-02,       2,        -2.846,         2.693,         19941,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1555494056.59,         0.277,         0.807,       133.969,         0.001,         0.002,         3.178,        82.832,        16.175,         2.248,        91.002,         0.733,         1.471,       -0.0000,       -0.0000,    0,        40.812,         1,       2,       1,Picarro pre rinse,       0
    13,    P-9528,   2019/04/17 11:44:59,           1-02,       3,        -2.436,         7.227,         20095,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1555494604.89,         0.254,         0.880,       130.715,        -0.001,        -0.009,         3.085,        83.839,        15.994,         2.271,        91.163,         0.733,         1.327,        0.0000,        0.0000,    0,        40.750,         1,       2,       1,Picarro pre rinse,       0
    14,    P-9528,   2019/04/17 11:54:07,           1-02,       4,        -2.415,         8.362,         20359,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1555495153.35,         0.273,         0.805,       134.124,        -0.001,        -0.005,         3.165,        85.137,        15.554,         2.341,        93.338,         0.733,         1.423,        0.0000,        0.0000,    0,        40.750,         1,       2,       1,Picarro pre rinse,       0
    15,    P-9528,   2019/04/17 12:03:16,           1-02,       5,        -2.371,         8.960,         20092,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1555495701.41,         0.253,         0.840,       133.410,        -0.002,        -0.003,         3.149,        84.028,        14.950,         2.327,        92.620,         0.733,         1.257,        0.0000,        0.0000,    0,        40.750,         1,       2,       1,Picarro pre rinse,       0
    16,    P-9528,   2019/04/17 12:12:25,           1-02,       6,        -2.314,         9.298,         20199,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1555496250.13,         0.277,         0.864,       134.848,        -0.001,        -0.004,         3.178,        83.957,        16.327,         2.272,        92.408,         0.730,         1.534,       -0.0000,       -0.0000,    0,        40.750,         1,       2,       1,Picarro pre rinse,       0
    17,    P-9528,   2019/04/17 12:21:33,           1-02,       7,        -2.460,         9.339,         19897,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1555496798.93,         0.260,         0.803,       134.298,        -0.002,        -0.002,         3.186,        82.429,        16.563,         2.265,        89.574,         0.733,         1.320,        0.0000,        0.0000,    0,        40.750,         1,       2,       1,Picarro pre rinse,       0
    18,    P-9528,   2019/04/17 12:30:42,           1-02,       8,        -2.314,         9.784,         20212,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1555497348.10,         0.254,         0.809,       134.854,        -0.000,        -0.002,         3.199,        84.628,        15.998,         2.205,        90.017,         0.733,         0.937,        0.0000,        0.0000,    0,        40.688,         1,       2,       1,Picarro pre rinse,       0
    19,    P-9528,   2019/04/17 12:39:51,           1-02,       9,        -2.400,         9.777,         20209,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1555497896.55,         0.242,         0.859,       130.278,        -0.000,        -0.006,         3.088,        84.339,        15.894,         2.273,        91.427,         0.733,         1.211,       -0.0000,       -0.0000,    0,        40.750,         1,       2,       1,Picarro pre rinse,       0
    20,    P-9528,   2019/04/17 12:48:59,           1-02,      10,        -2.409,         9.751,         20083,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1555498445.30,         0.240,         0.773,       134.191,        -0.000,        -0.001,         3.183,        83.786,        15.355,         2.289,        92.493,         0.733,         1.378,       -0.0000,       -0.0000,    0,        40.812,         1,       2,       1,Picarro pre rinse,       0
    21,    P-9529,   2019/04/17 12:58:07,           1-03,       1,       -30.310,      -188.231,         20469,      -1,    1,                                   HAUS2,                                Standard,                 H2O, 1555498992.99,         0.254,         1.182,       136.981,         0.002,         0.021,         3.234,        85.601,        16.748,         2.279,        91.123,         0.733,         1.372,       -0.0000,       -0.0000,    0,        40.812,         1,       3,       1,Picarro pre rinse,       0
    22,    P-9529,   2019/04/17 13:07:17,           1-03,       2,       -32.891,      -218.966,         20250,      -1,    1,                                   HAUS2,                                Standard,                 H2O, 1555499542.18,         0.263,         1.053,       131.034,         0.002,         0.017,         3.093,        84.843,        16.063,         2.263,        90.940,         0.733,         1.337,        0.0000,        0.0000,    0,        40.875,         1,       3,       1,Picarro pre rinse,       0
    23,    P-9529,   2019/04/17 13:16:26,           1-03,       3,       -33.884,      -228.123,         20249,      -1,    1,                                   HAUS2,                                Standard,                 H2O, 1555500091.93,         0.627,         2.091,       222.232,         0.013,         0.045,         5.222,        84.747,        16.365,         2.242,        89.585,         0.733,         1.298,       -0.0000,       -0.0000,    0,        40.875,         1,       3,       1,Picarro pre rinse,       0
    24,    P-9529,   2019/04/17 13:25:34,           1-03,       4,       -33.318,      -228.820,         20167,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1555500639.89,         0.241,         0.913,       131.202,         0.001,         0.012,         3.112,        84.454,        15.793,         2.275,        90.691,         0.733,         1.321,        0.0000,        0.0000,    0,        40.875,         1,       3,       1,Picarro pre rinse,       0
    25,    P-9529,   2019/04/17 13:34:43,           1-03,       5,       -33.612,      -230.909,         19878,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1555501188.87,         0.250,         0.828,       133.612,         0.001,         0.010,         3.154,        83.106,        15.762,         2.200,        88.689,         0.733,         1.207,       -0.0000,       -0.0000,    0,        40.875,         1,       3,       1,Picarro pre rinse,       0
