  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
     1,   P-11012,   2019/11/06 09:39:32,           1-01,       1,       -18.680,      -131.279,         25771,      -1,    0,                                     TAP,                            Conditioning,                 H2O, 1573029878.50,         0.263,         0.510,       260.624,        -0.002,        -0.001,         5.976,        96.830,        32.300,         1.421,        80.937,         0.733,        -1.061,        0.0000,        0.0000,    0,        40.625,         1,       1,       1,Picarro pre rinse,       0
     2,   P-11012,   2019/11/06 09:48:43,           1-01,       2,       -17.009,       -98.487,         24862,      -1,    0,                                     TAP,                            Conditioning,                 H2O, 1573030428.97,         0.269,         0.866,       176.176,        -0.001,        -0.007,         4.091,       106.703,        20.815,         2.720,       109.732,         0.723,         1.513,       -0.0000,       -0.0000,    0,        41.062,         1,       1,       1,Picarro pre rinse,       0
     3,   P-11012,   2019/11/06 09:57:54,           1-01,       3,       -16.938,       -95.292,         20151,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1573030979.79,         0.249,         0.898,       155.345,        -0.001,        -0.005,         3.685,        84.333,        17.494,         2.061,        86.434,         0.722,         0.724,       -0.0000,       -0.0000,    0,        40.938,         1,       1,       1,Picarro pre rinse,       0
     4,   P-11012,   2019/11/06 10:07:05,           1-01,       4,       -16.833,       -94.213,         19991,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1573031530.85,         0.252,         0.904,       149.544,        -0.001,        -0.002,         3.529,        83.493,        18.511,         1.982,        83.027,         0.723,         0.488,       -0.0000,       -0.0000,    0,        40.938,         1,       1,       1,Picarro pre rinse,       0
     5,   P-11012,   2019/11/06 10:16:16,           1-01,       5,       -16.836,       -93.667,         19827,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1573032081.82,         0.266,         0.920,       145.656,        -0.001,        -0.003,         3.440,        82.738,        17.653,         2.024,        84.733,         0.722,         0.747,       -0.0000,       -0.0000,    0,        41.000,         1,       1,       1,Picarro pre rinse,       0
     6,   P-11012,   2019/11/06 10:25:27,           1-01,       6,       -16.771,       -93.365,         19167,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1573032632.77,         0.249,         0.835,       139.414,         0.000,        -0.004,         3.307,        79.501,        17.874,         1.946,        80.316,         0.722,         0.601,       -0.0000,       -0.0000,    0,        40.938,         1,       1,       1,Picarro pre rinse,       0
     7,   P-11012,   2019/11/06 10:34:38,           1-01,       7,       -16.743,       -93.208,         19409,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1573033183.80,         0.259,         0.950,       137.591,        -0.001,         0.000,         3.281,        80.535,        18.660,         1.875,        79.715,         0.722,         0.383,       -0.0000,       -0.0000,    0,        41.000,         1,       1,       1,Picarro pre rinse,       0
     8,   P-11012,   2019/11/06 10:43:49,           1-01,       8,       -16.695,       -93.003,         19675,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1573033734.92,         0.267,         0.852,       138.072,         0.000,        -0.001,         3.261,        81.889,        18.865,         1.898,        80.418,         0.722,         0.248,        0.0000,        0.0000,    0,        41.000,         1,       1,       1,Picarro pre rinse,       0
     9,   P-11012,   2019/11/06 10:53:00,           1-01,       9,       -16.724,       -92.891,         19281,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1573034285.93,         0.255,         0.928,       132.713,        -0.001,         0.001,         3.150,        79.847,        18.502,         1.893,        80.460,         0.722,         0.562,        0.0000,        0.0000,    0,        41.000,         1,       1,       1,Picarro pre rinse,       0
    10,   P-11012,   2019/11/06 11:02:12,           1-01,      10,       -16.653,       -92.849,         19344,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1573034837.94,         0.259,         0.862,       131.608,        -0.001,         0.002,         3.123,        80.208,        19.135,         1.832,        78.267,         0.722,         0.286,        0.0000,        0.0000,    0,        41.000,         1,       1,       1,Picarro pre rinse,       0
    11,   P-11013,   2019/11/06 11:11:23,           1-02,       1,        -3.956,       -11.783,         19186,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1573035389.09,         0.264,         1.016,       135.101,        -0.002,        -0.011,         3.191,        79.656,        18.295,         1.828,        79.116,         0.722,         0.231,       -0.0000,       -0.0000,    0,        41.062,         1,       2,       1,Picarro pre rinse,       0
    12,   P-11013,   2019/11/06 11:20:35,           1-02,       2,        -2.683,         2.021,         18959,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1573035940.40,         0.279,         0.964,       131.480,        -0.002,        -0.009,         3.137,        78.419,        18.083,         1.837,        79.282,         0.722,         0.379,        0.0000,        0.0000,    0,        41.062,         1,       2,       1,Picarro pre rinse,       0
    13,   P-11013,   2019/11/06 11:29:46,           1-02,       3,        -2.431,         5.617,         19036,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1573036491.33,         0.285,         1.001,       129.632,        -0.001,        -0.007,         3.078,        78.962,        17.896,         1.833,        79.153,         0.722,         0.365,       -0.0000,       -0.0000,    0,        41.000,         1,       2,       1,Picarro pre rinse,       0
    14,   P-11013,   2019/11/06 11:38:56,           1-02,       4,        -2.369,         7.435,         19177,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1573037042.72,         0.249,         0.834,       134.662,        -0.001,        -0.004,         3.196,        79.620,        17.375,         1.908,        81.368,         0.733,         0.445,        0.0000,        0.0000,    0,        41.000,         1,       2,       1,Picarro pre rinse,       0
    15,   P-11013,   2019/11/06 11:48:07,           1-02,       5,        -2.333,         7.871,         19141,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1573037593.23,         0.274,         0.911,       131.503,        -0.001,        -0.005,         3.121,        79.458,        17.977,         1.846,        79.282,         0.722,         0.237,       -0.0000,       -0.0000,    0,        41.000,         1,       2,       1,Picarro pre rinse,       0
    16,   P-11013,   2019/11/06 11:57:19,           1-02,       6,        -2.292,         8.381,         19075,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1573038145.03,         0.286,         0.975,       130.208,        -0.001,        -0.004,         3.078,        79.132,        17.729,         1.871,        79.548,         0.721,         0.275,        0.0000,        0.0000,    0,        40.938,         1,       2,       1,Picarro pre rinse,       0
    17,   P-11013,   2019/11/06 12:06:31,           1-02,       7,        -2.338,         9.085,         19143,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1573038696.94,         0.266,         0.861,       127.764,        -0.002,        -0.003,         3.031,        79.484,        16.907,         1.950,        82.246,         0.733,         0.525,        0.0000,        0.0000,    0,        40.938,         1,       2,       1,Picarro pre rinse,       0
    18,   P-11013,   2019/11/06 12:15:42,           1-02,       8,        -2.217,         9.024,         19198,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1573039248.21,         0.256,         0.906,       129.453,        -0.000,        -0.007,         3.070,        79.736,        16.912,         1.977,        83.044,         0.723,         0.710,       -0.0000,       -0.0000,    0,        40.875,         1,       2,       1,Picarro pre rinse,       0
    19,   P-11013,   2019/11/06 12:24:54,           1-02,       9,        -2.271,         8.688,         19036,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1573039800.01,         0.259,         0.987,       133.456,         0.000,        -0.001,         3.164,        79.036,        16.852,         1.954,        81.679,         0.722,         0.619,       -0.0000,       -0.0000,    0,        40.875,         1,       2,       1,Picarro pre rinse,       0
    20,   P-11013,   2019/11/06 12:34:05,           1-02,      10,        -2.210,         9.368,         19151,       0,    1,                                   HAUS1,                                Standard,                 H2O, 1573040351.33,         0.267,         0.845,       132.172,        -0.000,        -0.001,         3.152,        79.489,        17.630,         1.855,        80.292,         0.722,         0.440,       -0.0000,       -0.0000,    0,        40.938,         1,       2,       1,Picarro pre rinse,       0
    21,   P-11014,   2019/11/06 12:43:17,           1-03,       1,       -30.023,      -187.276,         20335,      -1,    1,                                   HAUS2,                                Standard,                 H2O, 1573040902.95,         0.293,         1.462,       135.922,         0.003,         0.028,         3.227,        85.020,        19.436,         1.945,        83.547,         0.722,         0.417,       -0.0000,       -0.0000,    0,        40.938,         1,       3,       1,Picarro pre rinse,       0
    22,   P-11014,   2019/11/06 12:52:29,           1-03,       2,       -32.740,      -218.992,         20120,      -1,    1,                                   HAUS2,                                Standard,                 H2O, 1573041455.08,         0.265,         1.243,       132.688,         0.001,         0.021,         3.134,        83.818,        20.093,         1.882,        80.759,         0.722,         0.395,       -0.0000,       -0.0000,    0,        40.938,         1,       3,       1,Picarro pre rinse,       0
    23,   P-11014,   2019/11/06 13:01:41,           1-03,       3,       -33.147,      -226.005,         20506,      -1,    1,                                   HAUS2,                                Standard,                 H2O, 1573042006.43,         0.256,         1.066,       133.762,         0.000,         0.016,         3.157,        85.579,        19.429,         2.040,        85.732,         0.733,         0.772,       -0.0000,       -0.0000,    0,        40.938,         1,       3,       1,Picarro pre rinse,       0
    24,   P-11014,   2019/11/06 13:10:52,           1-03,       4,       -33.364,      -229.899,         20213,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1573042557.63,         0.258,         0.996,       134.837,         0.001,         0.013,         3.183,        84.199,        19.381,         1.988,        83.985,         0.722,         0.752,       -0.0000,       -0.0000,    0,        40.875,         1,       3,       1,Picarro pre rinse,       0
    25,   P-11014,   2019/11/06 13:20:03,           1-03,       5,       -33.481,      -231.731,         20098,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1573043109.10,         0.281,         1.077,       135.447,         0.002,         0.016,         3.198,        83.856,        19.496,         1.946,        81.701,         0.722,         0.479,        0.0000,        0.0000,    0,        40.875,         1,       3,       1,Picarro pre rinse,       0
    26,   P-11014,   2019/11/06 13:29:15,           1-03,       6,       -33.488,      -232.609,         20030,       0,    1,                                   HAUS2,                                Standard,                 H2O, 1573043660.29,         0.243,         0.902,       135.678,         0.001,         0.011,         3.206,        83.243,        19.991,         1.924,        81.466,         0.722,         0.534,        0.0000,        0.0000,    0,        40.812,         1,       3,       1,Picarro pre rinse,       0
